jeremić,a	jer,emi,ća
rukopis,i	ruk,op,isi
magazin,i	mag,az,ini
vek,a	ve,ka
mlad,e	ml,ade
pirot,u	pi,rot,u
inspirisan,a	inspir,is,ana
poslanik,u	pos,lan,iku
statut,u	stat,utu
radikal,a	rad,ik,ala
irački,m	ira,č,kim
novinar,em	nov,in,arem
džordž,a	d,ž,ord,ža
buš,a	bu,ša
obrazloženje,m	ob,raz,lo,žen,jem
režim,u	re,ž,imu
medij,i	med,iji
cirkus,om	c,irk,us,om
glasnogovornik,a	glas,nog,ov,orn,ika
poslanik,e	pos,lan,ike
jeftin,i	je,ft,ini
poen,i	po,eni
poslovnik,a	pos,lo,vn,ika
kraj,u	kra,ju
rajko,m	r,aj,kom
kuzmanović,em	k,uz,man,ović,em
način,e	na,č,ine
cilj,u	cil,ju
skor,ije	sk,or,ije
škundrić,em	š,kund,ri,ć,em
neki,h	ne,kih
skor,u	sk,oru
podeljen,im	p,odel,jen,im
grad,ovima	grad,ovima
obećanje,m	obe,ć,anjem
mera,ma	mer,ama
težnja,ma	te,ž,nj,ama
đorge,m	đ,org,em
ivanov,im	i,van,ov,im
odnos,i	od,nosi
brazil,om	brazil,om
iran,a	ir,ana
hrabrost,i	hr,ab,rost,i
dubok,e	d,ub,oke
zabrinutost,i	z,ab,rin,ut,osti
stons,i	st,ons,i
mik,u	m,iku
džeger,u	d,ž,eger,u
stons,ima	st,ons,ima
mešovit,ih	me,š,ovit,ih
par,ova	par,ova
vimbldon,u	v,imb,ld,onu
gitarist,om	g,itar,ist,om
kit,om	kit,om
ričards,om	r,ič,ards,om
sklop,u	sk,lo,pu
stons,a	st,ons,a
obožavalac,a	obo,ž,aval,aca
koncert,u	kon,cert,u
sat,a	s,ata
trabzon,u	tr,ab,zon,u
luk,om	luk,om
fudbal,u	f,ud,bal,u
vimbldon,a	v,imb,ld,ona
par,ovima	par,ovima
jonas,a	jon,asa
bjorkman,a	b,j,ork,mana
poraz,a	por,aza
sliven,a	sl,iven,a
umetnik,a	um,et,nika
mok,-a	m,ok,-a
siti,ju	sit,iju
akropolj,a	ak,ropol,ja
arhitekt,a	ar,h,itek,ta
njen,oj	nj,eno,j
mermer,e	mer,mere
partenon,a	part,en,ona
projektovan,e	projekt,ov,ane
sanduk,e	sand,uke
punjen,e	pun,jene
velik,og	vel,ik,og
arhitekt,om	ar,h,itekt,om
muzej,a	mu,ze,ja
bernar,om	bern,ar,om
čumi,jem	č,um,ij,em
ambasador,a	amb,as,adora
artikal,a	art,ik,ala
vremenski,h	v,rem,ens,kih
uslov,a	us,lo,va
uslov,ima	us,lov,ima
vlažnost,i	vla,ž,nosti
antikvitet,a	antik,vit,eta
metal,a	met,ala
sanduk,a	sand,uka
nadzor,om	nad,zor,om
inženjer,a	in,žen,jera
kostas,a	k,ost,asa
zambas,a	z,amb,asa
objekt,a	obj,ek,ta
odabran,i	od,abr,ani
nagrađivan,i	n,agra,đ,iv,ani
bernar,a	bern,ara
čumi,ja	č,um,ija
njujork,u	n,ju,j,ork,u
staklen,a	st,ak,lena
stub,ovima	stub,ovima
kvadratni,h	kv,adrat,nih
transport,a	transport,a
sadržaj,a	s,adrž,aja
antikvitet,i	antik,v,itet,i
privremen,i	priv,rem,eni
velik,a	vel,ika
međusprat,u	me,đ,us,pr,atu
staklen,om	st,ak,len,om
njihov,u	njih,ovu
partenon,u	part,en,onu
vek,ova	vek,ova
hram,a	h,rama
akropolj,u	ak,ropol,ju
odnos,u	od,nos,u
stub,ove	stub,ove
savršenost,i	s,avr,šen,osti
moj,ih	mo,jih
svojstven,o	s,voj,st,veno
postepen,o	post,ep,eno
mermer,i	mer,mer,i
muzej,u	mu,ze,ju
odgovarajući,h	od,gov,ar,aju,ć,ih
njihov,og	njih,ov,og
impresioniran,i	imp,res,ion,ir,ani
mermer,a	mer,mera
ime,nom	imen,om
elginov,i	el,gin,ovi
skulpturni,h	sk,ulp,turn,ih
mermer,ima	mer,mer,ima
friz,a	fr,iza
uzeti,h	uz,et,ih
zabat,a	z,ab,ata
erehtejon,a	e,re,ht,ej,ona
fragment,e	frag,mente
nov,om	nov,om
liven,im	l,iven,im
zamena,ma	z,amen,ama
kontinuitet,a	kont,in,uit,eta
njen,og	n,jen,og
mandat,a	mand,ata
organizacija,ma	organiz,acij,ama
bugarski,h	bug,ars,kih
mastriht,u	m,ast,ri,ht,u
određen,im	od,re,đen,im
broj,em	bro,jem
beč,u	be,ču
ministar,a	minist,ara
nato,-a	n,ato,-a
vankuver,a	v,ank,uver,a
vladivostok,a	v,lad,iv,ost,oka
dokument,ima	dok,ument,ima
obračun,u	obra,č,unu
pretnja,ma	pre,tn,j,ama
sigurnost,i	sig,urn,osti
materijal,ima	mater,ij,al,ima
format,u	format,u
zločin,a	z,lo,čina
prevremen,i	prev,rem,eni
tržišni,h	tr,ži,š,nih
postignut,og	post,ign,ut,og
održiv,og	od,rž,iv,og
konflikt,a	kon,flik,ta
jap,a	j,apa
hop,a	h,opa
šefer,a	š,e,fera
pasi,ja	pas,ija
širok,e	ši,roke
plakat,a	pl,ak,ata
birač,a	b,ira,ča
kandidat,e	k,andidate
kandidat,i	k,andid,ati
skup,ove	sk,up,ove
plav,o	pl,avo
crven,e	cr,vene
pobednik,u	p,ob,ed,niku
širok,a	š,iro,ka
pokazatelj,a	pok,az,atel,ja
žestok,a	ž,est,oka
bilbord,e	bil,bor,de
podeljen,e	p,odel,jene
crven,o	cr,veno
plav,oj	pl,av,oj
crven,oj	cr,ven,oj
formulisan,a	form,ulis,ana
hdz,-u	hd,z,-u
pomoćnik,a	p,omo,ć,nika
sanader,a	san,adera
jurčić,u	jur,čić,u
donator,a	don,atora
izborni,h	iz,born,ih
poslanički,h	pos,l,ani,čkih
azil,u	az,ilu
sudan,a	s,ud,ana
veroispovest,i	vero,isp,ov,esti
privatnost,i	priv,at,nosti
katić,a	k,ati,ća
pasoš,em	p,aso,šem
zdravstven,u	z,dr,av,st,venu
pretendent,e	pret,endente
prvi,m	pr,vim
priznavanje,m	pr,iz,nav,anjem
sistem,a	s,istema
zahtev,a	za,ht,eva
podneti,h	pod,net,ih
bangladeš,a	bang,lade,ša
sadam,a	sad,ama
husein,a	h,use,ina
aerodrom,e	a,er,od,rome
moguć,om	m,oguć,om
moguć,im	m,oguć,im
odlaganje,m	od,lag,anjem
govor,u	gov,oru
helsinki,ju	h,els,ink,iju
brisel,om	b,ris,el,om
avion,ima	avion,ima
kiparski,h	kip,ars,kih
linija,ma	lin,ij,ama
puč,a	pu,ča
spor,ih	spor,ih
moguć,i	m,ogu,ći
sam,im	sam,im
stav,u	stav,u
naftovod,a	na,ft,ov,oda
složen,og	s,lo,žen,og
projekt,a	proj,ek,ta
ruski,m	rus,kim
viktor,om	v,ik,tor,om
kristenko,m	krist,en,kom
iznos,u	iz,nos,u
sirov,a	si,ro,va
aleksandropolis,a	ale,ks,and,ropol,isa
egej,a	e,ge,ja
burgas,a	b,urg,asa
kapacitet,a	kap,ac,it,eta
naftovod,om	na,ft,ov,odom
moreuz,a	more,u,za
jeftin,ije	je,ft,in,ije
barel,a	bare,la
sirov,e	si,rove
vlasnički,h	v,las,ni,čkih
tehnički,h	teh,ni,čkih
ekonomski,h	ekonom,skih
parametar,a	param,et,ara
predložen,og	pred,lo,žen,og
naj,isplativ,ija	naj,is,pl,ativ,ija
uslov,i	us,lo,vi
zainteresovan,e	z,aint,eres,ov,ane
koordinator,a	ko,ordinator,a
partner,ima	partner,ima
skok,u	sk,oku
skok,a	sk,oka
otvoren,om	ot,vore,nom
film,ovi	film,ovi
karneval,ima	kar,ne,val,ima
ritual,ima	rit,ual,ima
održan,im	od,rž,anim
patras,u	pat,ras,u
izvođač,i	iz,vo,đa,či
japan,a	j,ap,ana
festival,a	festival,a
režiser,a	re,ž,is,era
semih,a	s,emi,ha
kaplanoglu,a	kap,lan,og,lua
nirnberg,u	n,irn,berg,u
festival,u	festival,u
dugometražni,h	d,ug,omet,raž,nih
igrani,h	igr,ani,h
svoj,om	s,vo,jom
smrt,i	sm,rt,i
heroj,a	hero,ja
adem,a	ad,ema
jašari,ja	ja,š,ari,ja
događaj,a	d,oga,đ,aja
organizovan,og	organiz,ovan,og
pravosudni,h	prav,os,ud,nih
spremnost,i	spre,mn,osti
određen,og	od,re,đen,og
januar,u	jan,uar,u
konkurentnost,i	kon,k,urent,nosti
ekspertski,h	ek,sp,ert,skih
meglen,om	meg,len,om
kunev,om	k,une,vom
sergej,em	s,erge,jem
stanišev,im	st,ani,š,ev,im
broj,a	bro,ja
evropski,h	ev,rops,kih
fond,ova	fond,ova
budućnost,i	bud,uć,nosti
komesar,om	k,omes,ar,om
oli,jem	o,lij,em
planiran,im	plan,ir,anim
strukturni,m	struk,turn,im
niz,u	n,izu
bombaški,h	b,omba,ških
mlad,ima	ml,ad,ima
slogan,a	s,log,ana
pano,ima	pan,o,ima
spot,ovi	spot,ovi
poznat,e	pozn,ate
sve,ga	s,ve,ga
podmladak,a	pod,ml,ad,aka
mlad,i	ml,adi
zabrinut,i	z,ab,rin,uti
etički,h	eti,čkih
organizovan,i	organiz,ov,ani
analitičar,a	anal,iti,č,ara
rezultat,e	rez,ult,ate
poster,a	post,era
spot,a	sp,ota
zainteresovan,i	z,aint,eres,ov,ani
život,a	živ,ota
ideal,a	ide,ala
politički,m	pol,iti,č,kim
igrač,i	ig,ra,či
izlaznost,i	iz,laz,nosti
rezultat,ima	rez,ultat,ima
moguć,a	m,oguć,a
društven,u	d,ru,št,venu
njihov,i	njih,ovi
profil,e	profile
fejsbuk,u	fe,js,b,uku
internet,a	intern,eta
zapadni,m	zap,ad,nim
demokratija,ma	dem,okrat,ij,ama
žestok,e	ž,est,oke
socijaldemokrat,a	soci,j,ald,em,okr,ata
opozicioni,h	op,oz,icion,ih
kabinet,a	k,abin,eta
stvaranje,m	st,var,anjem
predstojeći,h	pred,sto,jeć,ih
uzor,u	uz,oru
političar,e	pol,iti,č,are
vasić,a	v,asi,ća
portal,u	port,alu
blog,ove	blog,ove
bloger,ima	blog,erima
progres,a	prog,resa
snsd,-a	sns,d,-a
post,ove	post,ove
blog,u	blog,u
događaj,ima	d,oga,đ,aj,ima
protivnik,e	prot,iv,nike
rad,u	rad,u
rasprostranjen,ija	ras,pro,str,an,jen,ija
frekventnost,i	fre,k,vent,nosti
mobing,a	mob,inga
izraz,a	iz,ra,za
učestalost,i	uč,estal,osti
oblik,a	ob,li,ka
loš,ih	lo,š,ih
kolega,ma	k,ole,g,ama
statut,ima	stat,ut,ima
spor,ovi	spor,ovi
poslodavac,a	pos,lod,av,aca
zaposlen,ih	z,apos,len,ih
proces,a	pro,cesa
zavisnost,i	z,avis,nosti
prekršaj,a	pre,kr,š,aja
papir,u	pap,iru
obazriv,iji	ob,az,riv,iji
propis,a	prop,isa
prelaz,u	pre,l,azu
kosovo,m	k,os,ov,om
naj,nov,ijim	naj,nov,ij,im
akt,i	akt,i
tamošnji,h	t,amo,šnj,ih
odnos,ima	od,nos,ima
barikada,ma	bar,ik,ad,ama
neprihvatljiv,o	nep,ri,h,vat,ljivo
naj,nov,ijem	naj,nov,ij,em
događaj,u	d,oga,đ,aju
interes,e	inter,ese
vaš,em	va,šem
akter,i	akter,i
dijalog,u	d,ij,alog,u
instrument,om	instrument,om
uspeh,a	us,pe,ha
interes,u	inter,esu
čitav,e	čit,ave
tehnički,m	teh,nič,kim
kontekst,u	kont,ek,stu
čitav,og	čit,av,og
naj,nov,iji	naj,nov,iji
događaj,i	d,oga,đ,aji
neprihvatljiv,i	nep,ri,h,vat,lj,ivi
proces,e	pro,cese
njihov,ih	njih,ov,ih
prioritet,e	prior,it,ete
krajnji,h	k,raj,njih
rok,ova	rok,ova
njen,om	n,jen,om
predlog,u	pred,log,u
status,u	status,u
nadziran,u	nad,z,iran,u
stanovnik,a	stan,ov,nika
ambasador,ima	amb,as,ador,ima
predlog,e	pred,loge
muškarac,a	mu,š,kar,aca
tribjun,a	t,rib,j,una
agim,a	ag,ima
čeku,a	č,ek,ua
prijatelj,i	p,rij,atel,ji
nerešen,og	n,ere,šen,og
narod,a	nar,oda
duvan,a	du,vana
radnik,e	rad,nike
ugovor,u	ug,ov,oru
bulgartabak,a	b,ul,gart,ab,aka
komentar,u	k,oment,aru
sindikat,a	s,indik,ata
radnik,a	rad,nika
bulgartabakov,e	b,ul,gart,ab,ak,ove
blagojevgrad,u	bl,ago,jev,gradu
pleven,u	p,le,venu
delatnost,i	del,at,nosti
filijala,ma	fil,ij,alama
invest,a	invest,a
holding,a	holding,a
vlasnik,a	v,las,nika
konkurs,a	kon,k,ursa
ran,ijoj	ran,ij,oj
finansijski,m	fin,ansi,js,kim
plan,ovima	plan,ovima
sam,a	sama
kredit,a	k,red,ita
autoput,a	autop,uta
suveren,i	su,ver,eni
koridor,a	kor,idora
segment,a	segment,a
dug,og	d,ug,og
jugoistok,u	j,ugo,ist,oku
naplatni,h	nap,lat,nih
ugovor,a	ug,ov,ora
investicija,ma	invest,ic,ij,ama
tunel,a	t,un,ela
most,ova	most,ova
nadvožnjak,a	nad,vo,ž,nj,aka
podvožnjak,a	pod,vo,ž,nj,aka
prelaz,a	pre,l,aza
tabanovci,ma	tab,an,ov,cima
negotin,u	neg,ot,inu
konsultant,a	kons,ult,anta
obelodanjen,im	obel,od,an,jen,im
tender,u	t,ender,u
konzorcijum,a	konz,orc,ij,uma
investitor,a	invest,itora
hotel,a	hot,ela
turistički,h	tur,isti,čkih
put,eva	put,eva
odsek,a	od,se,ka
potpisivanje,m	pot,pis,ivan,jem
oblik,u	ob,liku
budžet,a	bud,ž,eta
kompanija,ma	kom,pan,ij,ama
porodica,ma	por,odic,ama
ideja,ma	ide,j,ama
njihov,oj	njih,ov,oj
magazin,a	mag,az,ina
niko,ga	nik,oga
ženski,h	ž,ens,kih
rukovodilac,a	ru,kov,od,il,aca
sopstven,i	s,op,st,veni
kredit,ima	k,redit,ima
fond,a	f,onda
bankarski,m	bank,ars,kim
trenutak,a	tren,ut,aka
noć,i	no,ći
kredit,e	k,red,ite
moj,oj	mo,joj
poštovanje,m	po,št,ovan,jem
džentlmen,i	d,ž,ent,l,meni
istrajnost,i	ist,raj,nosti
usluga,ma	us,lug,ama
tekstil,a	tek,st,ila
konsalting,a	kons,al,ting,a
žena,ma	žen,ama
prosek,a	pro,se,ka
program,i	program,i
indikator,i	indik,atori
broj,u	bro,ju
biznis,u	biz,nis,u
retki,h	ret,kih
šmatko,m	š,mat,kom
rosatom,a	ros,at,oma
jedinstven,u	jed,inst,venu
žestok,i	ž,est,oki
izvor,e	iz,vore
naš,a	na,ša
odbor,a	odb,ora
energetski,h	ener,get,skih
objekt,om	obj,ekt,om
visok,im	vis,ok,im
seizmički,m	se,iz,mi,č,kim
aktivnost,ima	aktiv,nost,ima
verski,h	vers,kih
spomenik,a	sp,omen,ika
izaslanik,a	izas,lan,ika
fatmir,om	fat,mi,rom
sejdiu,om	se,j,di,u,om
verski,m	vers,kim
zona,ma	zon,ama
spomenik,e	sp,omen,ike
zaštićen,e	za,šti,ć,ene
mnogi,h	mn,og,ih
detalj,a	det,al,ja
stav,ovima	stav,ovima
pokušaj,ima	p,oku,š,aj,ima
lider,e	lid,ere
održiv,i	od,rž,ivi
rohanov,a	r,ohan,ova
marti,ja	mart,ija
ahtisari,ja	a,ht,is,ari,ja
albanac,a	al,ban,aca
ishod,a	ish,oda
vašington,a	va,š,ington,a
prav,i	pr,avi
urban,a	urb,ana
partner,i	partner,i
gledalac,a	g,led,al,aca
evroimidž,a	ev,ro,imid,ža
mlad,om	ml,ad,om
doktor,u	dok,tor,u
gotov,a	got,ova
distributer,a	d,istrib,ut,era
glumac,a	gl,um,aca
naj,poznat,ijih	naj,pozn,at,ij,ih
snimatelj,a	sn,imat,el,ja
režiser,om	re,ž,iser,om
kristof,om	krist,of,om
kišlovski,m	ki,š,lov,skim
avijatičar,a	av,ij,ati,č,ara
film,om	film,om
lav,a	lava
novost,i	nov,osti
dnevnik,a	d,ne,vn,ika
buls,e	b,ulse
kings,e	king,se
kapital,a	kap,ital,a
divčev,e	div,č,eve
dnevnik,u	d,nev,niku
kapital,u	kap,ital,u
divčev,oj	div,če,voj
mali,h	mal,ih
deoničar,a	de,oni,č,ara
nepošten,o	nep,oš,ten,o
deoničar,ima	de,oni,č,ar,ima
tajkun,i	taj,k,uni
povećanje,m	p,ove,ć,anjem
uobičajen,o	u,obi,čaj,eno
različit,e	raz,lič,ite
deoničar,e	de,oni,č,are
proizvođač,a	pro,iz,vo,đa,ča
naj,prodavan,ije	naj,prod,avan,ije
lobist,e	lob,iste
sedište,m	s,edi,š,tem
priprema,ma	pri,prem,ama
španski,h	š,p,ans,kih
španski,m	š,p,ansk,im
luis,om	l,uis,om
rodrigez,om	rod,rige,z,om
zapatero,m	z,ap,ater,om
madrid,u	madrid,u
oblast,ima	ob,last,ima
simeon,om	s,ime,onom
sastanak,a	s,ast,an,aka
stol,om	st,ol,om
mogućnost,ima	m,oguć,nost,ima
stol,u	st,olu
društven,og	d,ru,št,ven,og
rezultat,a	rez,ult,ata
red,u	re,du
stav,ova	stav,ova
svečanost,i	s,ve,čan,osti
madrid,a	madrid,a
priznanje,m	pr,iz,nan,jem
doprinos,a	d,op,rin,osa
mladost,i	ml,ad,osti
dom,a	dom,a
egzil,u	eg,z,ilu
department,a	department,a
podsekretar,om	pod,sek,ret,ar,om
marko,m	mark,om
grosman,om	g,ros,man,om
evroatlantski,h	ev,roat,l,ants,kih
moguć,e	m,ogu,će
musliman,a	mus,lim,ana
vojislav,om	v,oj,isl,av,om
boris,om	b,oris,om
tadić,em	t,adi,ć,em
svetozar,om	s,vet,oz,ar,om
marović,em	mar,ović,em
vuk,om	v,uk,om
drašković,em	d,ra,šk,ović,em
mladić,a	m,l,adi,ća
nalog,a	nal,oga
bivši,h	b,iv,š,ih
vlastimir,a	v,last,im,ira
đorđević,a	đ,or,đ,ević,a
sreten,a	s,reten,a
pavković,a	p,av,k,ovi,ća
vladimir,a	v,lad,im,ira
lazarević,a	l,az,are,vi,ća
moć,i	mo,ći
grosman,u	g,ros,man,u
posvećenost,i	pos,ve,ćen,osti
optužen,og	opt,u,žen,og
naj,tražen,ija	naj,tra,žen,ija
osumnjičen,a	os,umn,ji,č,ena
mksj,-a	m,ks,j,-a
pun,a	p,una
plan,ove	plan,ove
jadran,u	j,ad,ran,u
prijateljski,h	p,rij,atel,js,kih
otvoren,ih	ot,v,oren,ih
dve,ju	d,ve,ju
slovenački,m	s,lo,vena,č,kim
anton,om	ant,onom
rop,om	r,op,om
novembarski,m	nov,emb,ars,kim
februar,u	fe,bruar,u
datum,a	dat,uma
berlin,u	berlin,u
irski,m	ir,skim
berti,jem	b,ert,ij,em
ahern,om	ah,ern,om
šestomesečni,m	š,est,om,ese,č,nim
mandat,om	mand,atom
ginter,om	g,inter,om
ferhojgen,om	fer,ho,j,gen,om
povratnik,a	p,ov,rat,nika
raseljen,ih	ras,el,jen,ih
pogođen,im	p,ogo,đen,im
fotograf,i	f,ot,ografi
fotograf,a	f,ot,ogra,fa
rad,ove	rad,ove
štampan,im	š,tam,pan,im
tvoj,im	t,voj,im
tomislav,u	tom,isl,avu
georgijev,u	ge,org,ij,ev,u
arhus,u	ar,hus,u
prvak,a	pr,v,aka
parter,u	par,ter,u
preskok,u	pres,k,oku
kozlić,a	koz,li,ća
vežba,ma	ve,ž,b,ama
razboj,u	raz,bo,ju
srebrn,u	s,re,br,nu
bronzan,u	br,onz,anu
višeboj,u	više,bo,ju
ostali,h	ost,alih
učesnik,a	uč,es,nika
karika,ma	kar,ik,ama
planina,ma	plan,inama
zemljotres,u	zem,lj,ot,res,u
poreklo,m	p,ore,kl,om
naj,talentovan,ijih	naj,tal,ent,ovan,ij,ih
festivalski,h	fest,ivals,kih
florijan,a	flor,ij,ana
donersmark,a	don,ers,mark,a
žiri,ja	ž,ir,ija
porumboju,a	por,umbo,j,ua
bukurešt,a	b,uk,ure,šta
biometrijski,m	bi,ometri,js,kim
karta,ma	kart,ama
crnogorski,m	cr,nog,ors,kim
milan,om	mil,anom
roćen,om	ro,ćen,om
sporazum,i	spor,az,umi
pun,o	p,uno
domen,ima	dom,en,ima
turist,ima	tur,ist,ima
ulcinj,u	u,lc,in,ju
pasoš,a	p,aso,ša
moj,a	mo,ja
moj,u	mo,ju
pun,e	p,une
gaš,i	ga,ši
sporazum,om	spor,az,um,om
godina,ma	god,inama
migracija,ma	m,igr,acij,ama
putni,h	put,nih
sporazum,ima	spor,az,um,ima
moguć,em	m,oguć,em
sporazum,u	spor,az,umu
datum,e	dat,ume
kandidat,ima	k,andid,at,ima
država,ma	drž,av,ama
seminar,u	se,min,aru
dokument,e	dok,umente
slab,og	sl,ab,og
privilegovan,o	priv,ile,gov,ano
gol,ove	gol,ove
živ,lji	živ,l,ji
stav,ovi	stav,ovi
dobrosusedski,h	dob,ros,used,skih
stacioniran,ih	st,acion,ir,ani,h
umor,u	um,oru
samit,om	sam,itom
usvajanje,m	us,vaj,anjem
njen,a	nj,ena
različit,im	raz,lič,itim
određivanje,m	od,re,đ,ivan,jem
reper,a	re,pera
reformski,m	reform,skim
poduhvat,ima	pod,uh,vat,ima
jezik,u	je,z,iku
tekst,a	tek,sta
majkrosoftov,e	m,aj,k,rosoft,ove
program,e	pro,gr,ame
naziv,a	naz,iva
softverski,h	soft,vers,kih
element,i	element,i
meni,ja	men,ija
prevod,a	prev,oda
poznat,im	pozn,at,im
lingvist,ima	ling,vist,ima
kompjuter,a	komp,jut,era
majkrosoft,a	m,aj,k,rosoft,a
makedonac,a	m,aked,on,aca
korisnik,a	kor,is,nika
majkrosoftov,ih	m,aj,k,rosoft,ov,ih
piratski,h	pir,ats,kih
softver,a	soft,vera
licencirani,h	lic,enc,ir,ani,h
autorski,h	aut,ors,kih
nasleđe,m	nas,le,đ,em
ratni,h	rat,nih
jedinstven,og	jed,inst,ven,og
mehanizam,a	m,ehan,iz,ama
chp,-a	ch,p,-a
vid,ova	vid,ova
činjenica,ma	čin,jen,icama
protokol,u	prot,ok,olu
prošlost,i	pro,š,losti
usklađen,ih	usk,la,đen,ih
ratni,m	rat,nim
zločin,ima	z,lo,čin,ima
bilten,u	bilt,enu
mirsad,a	m,irs,ada
document,e	document,e
određen,i	od,re,đ,eni
osumnjičen,ima	os,umn,ji,čen,ima
zločin,i	z,lo,č,ini
neorganizovan,ih	ne,organiz,ov,ani,h
određen,ih	od,re,đen,ih
neodređen,ih	ne,od,re,đen,ih
student,e	student,e
aktivist,e	aktiv,iste
tema,ma	tem,ama
ešdaunov,a	e,š,da,un,ova
pedi,ja	ped,ija
ešdaun,a	e,š,da,una
suštinski,m	su,št,ins,kim
princip,ima	princip,ima
dogovor,u	dog,ov,oru
izvodljivost,i	iz,vod,ljiv,osti
sds,-a	sd,s,-a
policijski,m	pol,ici,js,kim
neprihvatljiv,e	nep,ri,h,vat,lj,ive
potpun,i	pot,p,uni
prosperitet,a	pros,per,it,eta
izgled,i	iz,g,ledi
entitet,a	ent,it,eta
zasnovan,ih	zas,nov,ani,h
dragan,a	drag,ana
čović,a	č,ovi,ća
milorad,a	m,ilor,ada
dodik,a	dod,ika
napor,ima	nap,or,ima
avaz,u	av,azu
kapacitet,om	kap,ac,itet,om
brčko,m	br,č,kom
fikret,a	f,ik,reta
hasanović,a	has,an,ovi,ća
pan,a	p,ana
panić,a	p,ani,ća
atentat,om	at,ent,atom
đinđić,a	đ,in,đ,ić,a
ubistvo,m	ub,ist,vom
zoran,a	z,or,ana
ultranacionalist,e	ul,tran,acional,iste
šešelj,a	š,e,šel,ja
đinđićev,o	đ,in,đ,i,će,vo
luković,a	l,uk,ovi,ća
osumnjičen,og	os,umn,ji,čen,og
paravojni,h	par,av,oj,nih
slobodan,a	s,lob,od,ana
milošević,a	m,ilo,š,ević,a
luković,u	l,uk,ović,u
optužen,ima	opt,u,žen,ima
velik,ih	vel,ik,ih
razmer,a	raz,mera
paravojni,m	par,av,oj,nim
struktura,ma	struktur,ama
formiran,im	form,ir,anim
rat,ova	rat,ova
komandant,a	kom,and,anta
jso,-a	js,o,-a
automobil,a	autom,ob,ila
reformist,a	reform,ista
nacionalist,e	n,acional,iste
tomić,a	t,omi,ća
rade,ta	rad,eta
bulatović,a	b,ulat,ovi,ća
savetnik,a	sav,et,nika
atentat,a	at,ent,ata
slučaj,a	sl,uč,aja
đinđićev,e	đ,in,đ,i,će,ve
suđenje,m	su,đen,jem
propust,a	prop,usta
sekulić,a	sek,uli,ća
milan,a	mil,ana
miljojković,a	mil,jo,jk,ovi,ća
bekim,a	b,ek,ima
fehmiju,a	f,ehm,ij,ua
istaknut,u	ist,ak,nut,u
stan,u	stan,u
glumčev,a	gl,um,č,eva
prizren,a	pr,iz,rena
ljubitelj,i	lj,ub,itelji
fehmiju,u	f,ehm,ij,uu
film,ove	fil,move
narod,ima	narod,ima
gvozden,e	g,vo,zd,ene
blok,a	blo,ka
naj,čuven,ijih	naj,ču,ven,ij,ih
pijan,i	pi,j,ani
go,lim	gol,im
fehmijuov,e	f,ehm,iju,ove
režiser,ima	re,ž,iser,ima
film,ovima	film,ovima
pad,u	pad,u
poznat,a	pozn,ata
visok,oj	vis,ok,oj
smrtnost,i	sm,r,tn,osti
pad,om	pad,om
živorođeni,h	živ,oro,đen,ih
društven,ih	d,ru,št,ven,ih
razvod,om	raz,v,odom
brak,a	br,aka
karijera,ma	k,ari,jer,ama
sociodemografski,m	soci,odem,ogra,fs,kim
abortus,ima	abort,us,ima
instat,-a	in,stat,-a
neprijavljen,e	nep,rij,av,lj,ene
abortus,e	abort,use
vezan,i	vez,ani
mlad,im	ml,ad,im
dete,tu	det,etu
abortus,i	abort,usi
dervišijev,im	d,erv,iš,ij,ev,im
roditelj,i	ro,dit,el,ji
nov,ije	nov,ije
sused,i	s,used,i
balkanski,m	b,alk,ansk,im
berza,ma	ber,z,ama
milion,e	mil,ione
ktv,-u	k,tv,-u
posmatrač,i	pos,mat,ra,či
vladin,i	vl,adini
predostrožnost,i	pred,ostro,ž,nosti
nejak,e	nej,ake
žarkuov,o	ž,ark,u,ovo
insajt,u	ins,aj,tu
emigrant,i	em,igr,anti
banka,ma	bank,ama
kolaps,a	kol,aps,a
rast,a	r,asta
godišnji,m	g,odi,šnj,im
rast,om	rast,om
institut,om	in,stit,utom
privremen,o	priv,rem,eno
srednji,h	s,red,njih
privremen,og	priv,remen,og
nezaposlen,ima	nez,apos,len,ima
institucija,ma	in,stit,uc,ij,ama
enver,a	en,vera
diktatorski,m	d,ikt,ators,kim
režim,om	re,ž,im,om
nadolazeći,h	nad,ol,aze,ć,ih
vladar,a	vl,ad,ara
naj,izolovan,ijom	naj,iz,ol,ovan,ij,om
prostor,a	prost,ora
list,a	lista
karajev,i	kar,aj,evi
diktator,u	d,ikt,ator,u
bogat,iji	b,ogat,iji
identitet,u	ident,itet,u
brz,og	br,zog
problem,i	pro,ble,mi
noga,ma	nog,ama
sam,i	s,ami
prepreka,ma	pre,pre,k,ama
tvrdoglav,i	tv,rd,ogl,avi
džejms,a	d,ž,ej,ms,a
bejker,a	be,jk,era
posed,a	posed,a
zaplenjen,ih	zap,len,jen,ih
manjina,ma	man,jin,ama
glasnik,u	glas,niku
dom,ove	dom,ove
nezbrinut,u	nez,br,in,utu
različitost,i	raz,li,čit,osti
hrišćanski,h	h,ri,š,ć,ans,kih
jevrejski,h	je,vre,js,kih
zahtev,e	za,hte,ve
turski,m	t,urs,kim
rok,u	roku
fondacija,ma	fond,acij,ama
odvojen,oj	od,voj,eno,j
manjinski,m	man,j,ins,kim
grupa,ma	grup,ama
manjinski,h	man,j,inski,h
amandman,ima	am,and,man,ima
