jeremić,a	jere,mi,ća
plav,o	plavo
crven,e	crvene
pobednik,u	pobed,niku
širok,a	široka
pokazatelj,a	pokazatelja
žestok,a	žesto,ka
bilbord,e	bil,bor,de
podeljen,e	podeljene
crven,o	crveno
plav,oj	plav,oj
crven,oj	crven,oj
formulisan,a	formuli,sana
hdz,-u	hd,z,-,u
pomoćnik,a	pomoćnika
sanader,a	s,ana,dera
jurčić,u	j,ur,či,ću
donator,a	dona,tora
izborni,h	izbornih
poslanički,h	poslani,čkih
azil,u	az,ilu
sudan,a	su,dana
veroispovest,i	veroispovesti
privatnost,i	privatnosti
katić,a	ka,tića
pasoš,em	paso,šem
zdravstven,u	zdravstvenu
pretendent,e	preten,den,te
prvi,m	prvim
priznavanje,m	prizna,vanjem
sistem,a	sistema
zahtev,a	zahteva
podneti,h	podne,tih
bangladeš,a	ban,gla,de,ša
sadam,a	sa,dama
husein,a	hu,se,ina
aerodrom,e	aerodro,me
moguć,om	moguć,om
moguć,im	mogućim
odlaganje,m	odla,ganjem
govor,u	govoru
helsinki,ju	helsin,kiju
brisel,om	bri,se,lom
avion,ima	avi,onima
kiparski,h	ki,par,skih
linija,ma	linijama
puč,a	pu,ča
spor,ih	spo,rih
moguć,i	mogući
sam,im	samim
stav,u	stavu
naftovod,a	na,ft,ov,oda
složen,og	slož,enog
projekt,a	projekta
ruski,m	ruskim
viktor,om	vik,torom
kristenko,m	kri,sten,kom
iznos,u	iznosu
sirov,a	sir,ova
aleksandropolis,a	aleksan,dro,polisa
egej,a	e,ge,ja
burgas,a	bur,gasa
kapacitet,a	kapaciteta
naftovod,om	na,ft,ov,odom
moreuz,a	mo,reu,za
jeftin,ije	jeftinije
barel,a	ba,rela
sirov,e	sir,ove
vlasnički,h	vlas,ničkih
tehnički,h	tehničkih
ekonomski,h	ekonomskih
parametar,a	parametara
predložen,og	predloženog
naj,isplativ,ija	naj,ispla,tivi,ja
uslov,i	uslovi
zainteresovan,e	zainteresovane
koordinator,a	koordina,tora
partner,ima	partnerima
skok,u	sko,ku
skok,a	skoka
otvoren,om	otvorenom
film,ovi	filmovi
karneval,ima	kar,ne,valima
ritual,ima	ri,tua,lima
održan,im	održ,anim
patras,u	pa,tra,su
izvođač,i	izvođa,či
japan,a	japana
festival,a	festivala
režiser,a	reži,sera
semih,a	se,mi,ha
kaplanoglu,a	ka,plan,o,glu,a
nirnberg,u	ni,rn,ber,gu
festival,u	festivalu
dugometražni,h	dugo,me,traž,nih
igrani,h	igra,nih
svoj,om	svojom
smrt,i	smrti
heroj,a	heroja
adem,a	a,dema
jašari,ja	ja,ša,rija
događaj,a	događaja
organizovan,og	organizovanog
pravosudni,h	pravosud,nih
spremnost,i	spremnosti
određen,og	određenog
januar,u	januaru
konkurentnost,i	konkurentnosti
ekspertski,h	ekspert,skih
meglen,om	me,gl,enom
kunev,om	ku,ne,vom
sergej,em	ser,ge,jem
stanišev,im	stani,še,vim
broj,a	broja
evropski,h	evropskih
fond,ova	fondova
budućnost,i	budućnosti
komesar,om	kome,sa,rom
oli,jem	oli,jem
planiran,im	plani,ranim
strukturni,m	struktur,nim
niz,u	nizu
bombaški,h	bom,ba,ških
mlad,ima	mladima
slogan,a	slo,gana
pano,ima	pan,o,ima
spot,ovi	spo,tovi
poznat,e	poznate
sve,ga	svega
podmladak,a	podmla,da,ka
mlad,i	mladi
zabrinut,i	zabrinu,ti
etički,h	e,tičkih
organizovan,i	organizovani
analitičar,a	anali,tičara
rezultat,e	rezultate
poster,a	po,stera
spot,a	spo,ta
zainteresovan,i	zainteresovani
život,a	života
ideal,a	ide,ala
politički,m	političkim
igrač,i	igrači
izlaznost,i	izla,znosti
rezultat,ima	rezultatima
moguć,a	moguća
društven,u	društvenu
njihov,i	njihovi
profil,e	profil,e
fejsbuk,u	fejsbu,ku
internet,a	interneta
zapadni,m	zapadnim
demokratija,ma	demokra,ti,jama
žestok,e	žesto,ke
socijaldemokrat,a	socijal,demokra,ta
opozicioni,h	opozi,cionih
kabinet,a	kabineta
stvaranje,m	stvaranjem
predstojeći,h	predstoje,ćih
uzor,u	uzoru
političar,e	politič,are
vasić,a	vasi,ća
portal,u	portalu
blog,ove	blo,gove
bloger,ima	blo,ge,rima
progres,a	progre,sa
snsd,-a	sn,sd,-,a
post,ove	post,ove
blog,u	blo,gu
događaj,ima	događajima
protivnik,e	protiv,nike
rad,u	radu
rasprostranjen,ija	rasprostranj,enija
frekventnost,i	frekven,tnosti
mobing,a	mob,inga
izraz,a	izraza
učestalost,i	učestalosti
oblik,a	oblika
loš,ih	loših
kolega,ma	kolegama
statut,ima	statu,tima
spor,ovi	spor,ovi
poslodavac,a	poslodavaca
zaposlen,ih	zaposlenih
proces,a	procesa
zavisnost,i	zavisnosti
prekršaj,a	prekršaja
papir,u	papiru
obazriv,iji	ob,az,ri,viji
propis,a	propisa
prelaz,u	prelazu
kosovo,m	kos,ovom
naj,nov,ijim	najnovijim
akt,i	akti
tamošnji,h	tamoš,njih
odnos,ima	odnosima
barikada,ma	bari,ka,dama
neprihvatljiv,o	neprihvatlji,vo
naj,nov,ijem	najnovi,jem
događaj,u	događaju
interes,e	interese
vaš,em	vašem
akter,i	akteri
dijalog,u	dijalogu
instrument,om	instru,mentom
uspeh,a	uspeha
interes,u	interesu
čitav,e	čitave
tehnički,m	tehničkim
kontekst,u	kontekstu
čitav,og	čitavog
naj,nov,iji	najnovi,ji
događaj,i	događaji
neprihvatljiv,i	neprihvatlji,vi
proces,e	procese
njihov,ih	njihovih
prioritet,e	priori,tete
krajnji,h	kraj,njih
rok,ova	ro,kova
njen,om	njenom
predlog,u	predlogu
status,u	statusu
nadziran,u	nadzi,ranu
stanovnik,a	stanovnika
ambasador,ima	ambasa,do,rima
predlog,e	predloge
muškarac,a	muškaraca
tribjun,a	tri,b,juna
agim,a	ag,ima
čeku,a	če,ku,a
prijatelj,i	prijatelji
nerešen,og	ne,reš,enog
narod,a	naroda
duvan,a	duvana
radnik,e	radnike
ugovor,u	ugovoru
bulgartabak,a	bul,gar,ta,baka
komentar,u	komenta,ru
sindikat,a	sindikata
radnik,a	radnika
bulgartabakov,e	bul,gar,ta,ba,kove
blagojevgrad,u	blago,jev,gradu
pleven,u	ple,venu
delatnost,i	delatnosti
filijala,ma	fili,jal,ama
invest,a	in,ve,sta
holding,a	hol,din,ga
vlasnik,a	vlasnika
konkurs,a	konkursa
ran,ijoj	rani,joj
finansijski,m	finansijskim
plan,ovima	planovima
sam,a	sama
kredit,a	kredita
autoput,a	auto,puta
suveren,i	suvereni
koridor,a	kori,dora
segment,a	segmenta
dug,og	dugog
jugoistok,u	jugoisto,ku
naplatni,h	napla,tnih
ugovor,a	ugovora
investicija,ma	investi,cijama
tunel,a	tunela
most,ova	most,ova
nadvožnjak,a	nad,vož,njaka
podvožnjak,a	pod,vož,njaka
prelaz,a	prelaza
tabanovci,ma	ta,ban,ov,cima
negotin,u	ne,got,inu
konsultant,a	konsul,tanta
obelodanjen,im	obelodan,jenim
tender,u	ten,deru
konzorcijum,a	kon,zor,cijuma
investitor,a	investitora
hotel,a	hotela
turistički,h	turističkih
put,eva	puteva
odsek,a	odse,ka
potpisivanje,m	potpi,sivanjem
oblik,u	obliku
budžet,a	budžeta
kompanija,ma	kompanijama
porodica,ma	porodicama
ideja,ma	idejama
njihov,oj	njihovoj
magazin,a	maga,zina
niko,ga	nikoga
ženski,h	ženskih
rukovodilac,a	rukovodi,laca
sopstven,i	sopstveni
kredit,ima	kredi,tima
fond,a	fonda
bankarski,m	bankar,skim
trenutak,a	trenu,taka
noć,i	noći
kredit,e	kredite
moj,oj	mojoj
poštovanje,m	pošt,ovanjem
džentlmen,i	džen,t,l,meni
istrajnost,i	istra,jnosti
usluga,ma	uslugama
tekstil,a	tekst,ila
konsalting,a	kon,sal,tinga
žena,ma	ženama
prosek,a	proseka
program,i	programi
indikator,i	indikatori
broj,u	broju
biznis,u	biz,nisu
retki,h	retkih
šmatko,m	š,mat,kom
rosatom,a	ro,sa,to,ma
jedinstven,u	jedinstvenu
žestok,i	žesto,ki
izvor,e	izvore
naš,a	naša
odbor,a	odbora
energetski,h	energetskih
objekt,om	objek,tom
visok,im	visokim
seizmički,m	se,izmi,čkim
aktivnost,ima	aktivnostima
verski,h	verskih
spomenik,a	spomenika
izaslanik,a	izasl,anika
fatmir,om	f,at,mirom
sejdiu,om	se,j,di,u,om
verski,m	ver,skim
zona,ma	zonama
spomenik,e	spomeni,ke
zaštićen,e	zašti,ćene
mnogi,h	mnogih
detalj,a	detalja
stav,ovima	stavovima
pokušaj,ima	pokuša,jima
lider,e	lide,re
održiv,i	održivi
rohanov,a	ro,han,ova
marti,ja	mar,tija
ahtisari,ja	ah,ti,sa,rija
albanac,a	albanaca
ishod,a	ishoda
vašington,a	vašing,tona
prav,i	pravi
urban,a	urb,ana
partner,i	partneri
gledalac,a	gledalaca
evroimidž,a	evro,imi,dža
mlad,om	mla,dom
doktor,u	dok,toru
gotov,a	got,ova
distributer,a	distribu,tera
glumac,a	glu,maca
naj,poznat,ijih	najpoznatijih
snimatelj,a	sni,ma,telja
režiser,om	reži,se,rom
kristof,om	kristo,fom
kišlovski,m	k,iš,lov,skim
avijatičar,a	avi,ja,tičara
film,om	fil,mom
lav,a	l,ava
novost,i	novosti
dnevnik,a	dnev,nika
buls,e	bul,se
kings,e	k,ing,se
kapital,a	kapitala
divčev,e	div,čeve
dnevnik,u	dnev,niku
kapital,u	kapitalu
divčev,oj	div,če,voj
mali,h	malih
deoničar,a	de,o,nič,ara
nepošten,o	nepo,šteno
deoničar,ima	de,oni,čarima
tajkun,i	taj,ku,ni
povećanje,m	povećanjem
uobičajen,o	uobičajeno
različit,e	različite
deoničar,e	de,o,nič,are
proizvođač,a	proizvođača
naj,prodavan,ije	naj,prodav,anije
lobist,e	lobi,ste
sedište,m	sedištem
priprema,ma	pripre,mama
španski,h	špan,skih
španski,m	špan,skim
luis,om	lu,is,om
rodrigez,om	rod,ri,ge,zom
zapatero,m	za,pa,terom
madrid,u	madri,du
oblast,ima	oblastima
simeon,om	sime,onom
sastanak,a	sastanaka
stol,om	sto,lom
mogućnost,ima	mogućnostima
stol,u	stolu
društven,og	društvenog
rezultat,a	rezultata
red,u	redu
stav,ova	stavova
svečanost,i	svečan,osti
madrid,a	madri,da
priznanje,m	pri,znanjem
doprinos,a	doprinosa
mladost,i	mladosti
dom,a	doma
egzil,u	eg,z,ilu
department,a	depart,menta
podsekretar,om	pod,sekre,ta,rom
marko,m	mar,kom
grosman,om	gro,sman,om
evroatlantski,h	evro,atlan,tskih
moguć,e	moguće
musliman,a	muslimana
vojislav,om	voji,slav,om
boris,om	bori,som
tadić,em	ta,di,ćem
svetozar,om	sveto,za,rom
marović,em	mar,ovićem
vuk,om	vu,kom
drašković,em	dra,ško,vi,ćem
mladić,a	mla,dića
nalog,a	naloga
bivši,h	bivših
vlastimir,a	vla,sti,mira
đorđević,a	đorđe,vića
sreten,a	s,ret,ena
pavković,a	pav,kovića
vladimir,a	vladimira
lazarević,a	lazare,vića
moć,i	moći
grosman,u	gro,sman,u
posvećenost,i	posveć,enosti
optužen,og	optuž,enog
naj,tražen,ija	naj,traž,enija
osumnjičen,a	osumnji,čena
mksj,-a	m,k,sj,-,a
pun,a	puna
plan,ove	planove
jadran,u	jad,ranu
prijateljski,h	prijatelj,skih
otvoren,ih	otvorenih
dve,ju	dveju
slovenački,m	slovena,čkim
anton,om	anto,nom
rop,om	ro,pom
novembarski,m	nove,mbar,skim
februar,u	februaru
datum,a	datuma
berlin,u	berlinu
irski,m	ir,skim
berti,jem	ber,ti,jem
ahern,om	a,her,nom
šestomesečni,m	šesto,mese,čnim
mandat,om	man,datom
ginter,om	g,inte,rom
ferhojgen,om	fer,ho,j,genom
povratnik,a	povra,tnika
raseljen,ih	rase,ljenih
pogođen,im	pogo,đenim
fotograf,i	fotografi
fotograf,a	foto,grafa
rad,ove	radove
štampan,im	štamp,anim
tvoj,im	tvoj,im
tomislav,u	tomi,slavu
georgijev,u	geor,gi,jevu
arhus,u	ar,hu,su
prvak,a	prvaka
parter,u	par,teru
preskok,u	presko,ku
kozlić,a	koz,lića
vežba,ma	vež,bama
razboj,u	raz,boju
srebrn,u	srebr,nu
bronzan,u	bron,zanu
višeboj,u	više,boju
ostali,h	ostalih
učesnik,a	učesnika
karika,ma	kari,kama
planina,ma	planinama
zemljotres,u	zemljotre,su
poreklo,m	poreklom
naj,talentovan,ijih	naj,talen,tov,anijih
festivalski,h	festi,val,skih
florijan,a	flo,rijana
donersmark,a	do,ner,sma,r,ka
žiri,ja	žirija
porumboju,a	poru,mbo,ju,a
bukurešt,a	buku,re,šta
biometrijski,m	bio,metrij,skim
karta,ma	kar,tama
crnogorski,m	crnogor,skim
milan,om	mil,anom
roćen,om	ro,ćenom
sporazum,i	sporazu,mi
pun,o	puno
domen,ima	do,menima
turist,ima	turi,stima
ulcinj,u	ul,cin,ju
pasoš,a	paso,ša
moj,a	moja
moj,u	moju
pun,e	pune
gaš,i	ga,ši
sporazum,om	sporazumom
godina,ma	godinama
migracija,ma	migra,cijama
putni,h	pu,tnih
sporazum,ima	sporazu,mima
moguć,em	mogućem
sporazum,u	sporazumu
datum,e	datu,me
kandidat,ima	kandida,tima
država,ma	državama
seminar,u	semin,aru
dokument,e	doku,mente
slab,og	sla,bog
privilegovan,o	privilegov,ano
gol,ove	gol,ove
živ,lji	živ,lji
stav,ovi	stavovi
dobrosusedski,h	dobro,sused,skih
stacioniran,ih	sta,cioni,ranih
umor,u	u,moru
samit,om	sa,mi,tom
usvajanje,m	usva,janjem
njen,a	njena
različit,im	različitim
određivanje,m	određi,vanjem
reper,a	re,pera
reformski,m	refor,mskim
poduhvat,ima	poduhva,tima
jezik,u	jeziku
tekst,a	teksta
majkrosoftov,e	maj,kro,soft,ove
program,e	programe
naziv,a	naziva
softverski,h	softver,skih
element,i	elementi
meni,ja	meni,ja
prevod,a	prevoda
poznat,im	poznatim
lingvist,ima	lingvi,stima
kompjuter,a	kompju,tera
majkrosoft,a	maj,kro,so,fta
makedonac,a	makedo,naca
korisnik,a	korisnika
majkrosoftov,ih	maj,kro,soft,ovih
piratski,h	pi,ra,tskih
softver,a	softvera
licencirani,h	licen,ci,ranih
autorski,h	autorskih
nasleđe,m	nasle,đem
ratni,h	ratnih
jedinstven,og	jedinstvenog
mehanizam,a	mehanizama
chp,-a	c,hp,-,a
vid,ova	vidova
činjenica,ma	činjenicama
protokol,u	proto,kolu
prošlost,i	prošlosti
usklađen,ih	uskla,đenih
ratni,m	ratnim
zločin,ima	zločin,ima
bilten,u	bil,ten,u
mirsad,a	mir,sada
document,e	do,cu,mente
određen,i	određeni
osumnjičen,ima	osumnji,č,enima
zločin,i	zlo,čini
neorganizovan,ih	ne,organiz,ovanih
određen,ih	određenih
neodređen,ih	ne,određenih
student,e	studente
aktivist,e	aktivi,ste
tema,ma	temama
ešdaunov,a	e,š,da,u,nova
pedi,ja	pe,dija
ešdaun,a	e,š,da,una
suštinski,m	sušt,inskim
princip,ima	principima
dogovor,u	dogovoru
izvodljivost,i	izvod,ljivosti
sds,-a	sds,-,a
policijski,m	policij,skim
neprihvatljiv,e	neprihvatlji,ve
potpun,i	potpuni
prosperitet,a	prosperi,teta
izgled,i	izgle,di
entitet,a	entiteta
zasnovan,ih	zasnovanih
dragan,a	dragana
čović,a	č,ovića
milorad,a	milo,rada
dodik,a	dodi,ka
napor,ima	naporima
avaz,u	ava,zu
kapacitet,om	kapaci,tetom
brčko,m	br,čkom
fikret,a	fi,kre,ta
hasanović,a	ha,san,ovića
pan,a	pana
panić,a	p,ani,ća
atentat,om	aten,ta,tom
đinđić,a	đinđi,ća
ubistvo,m	ubi,stvom
zoran,a	zorana
ultranacionalist,e	ultra,naciona,liste
šešelj,a	šeše,lja
đinđićev,o	đinđi,ćevo
luković,a	lu,kovića
osumnjičen,og	osumnji,čenog
paravojni,h	para,vojnih
slobodan,a	slobodana
milošević,a	miloševića
luković,u	lu,koviću
optužen,ima	optu,žen,ima
velik,ih	velikih
razmer,a	razmera
paravojni,m	para,vojnim
struktura,ma	strukturama
formiran,im	formi,ranim
rat,ova	ratova
komandant,a	komandanta
jso,-a	j,so,-,a
automobil,a	automobila
reformist,a	reformi,sta
nacionalist,e	naciona,liste
tomić,a	tomi,ća
rade,ta	ra,de,ta
bulatović,a	bula,t,ovića
savetnik,a	savetnika
atentat,a	aten,tata
slučaj,a	slučaja
đinđićev,e	đinđi,ćeve
suđenje,m	su,đenjem
propust,a	propu,sta
sekulić,a	se,ku,lića
milan,a	milana
miljojković,a	mil,jo,j,kovića
bekim,a	bek,ima
fehmiju,a	fe,h,mi,ju,a
istaknut,u	istaknu,tu
stan,u	stanu
glumčev,a	glum,čeva
prizren,a	pri,zr,ena
ljubitelj,i	ljubi,telji
fehmiju,u	fe,h,mi,ju,u
film,ove	filmove
narod,ima	narodima
gvozden,e	gvo,zd,ene
blok,a	bloka
naj,čuven,ijih	naj,ču,ven,i,jih
pijan,i	pi,jani
go,lim	go,lim
fehmijuov,e	fe,h,mi,ju,ove
režiser,ima	reži,se,rima
film,ovima	filmovima
pad,u	padu
poznat,a	poznata
visok,oj	visokoj
smrtnost,i	smrtnosti
pad,om	padom
živorođeni,h	živo,rođ,enih
društven,ih	društvenih
razvod,om	raz,vodom
brak,a	braka
karijera,ma	karije,rama
sociodemografski,m	soci,ode,mo,graf,skim
abortus,ima	abor,tu,sima
instat,-a	in,sta,t,-,a
neprijavljen,e	ne,prijav,ljene
abortus,e	abor,tu,se
vezan,i	vezani
mlad,im	mladim
dete,tu	detetu
abortus,i	abor,tu,si
dervišijev,im	der,vi,ši,je,vim
roditelj,i	roditelji
nov,ije	novije
sused,i	su,sedi
balkanski,m	balkan,skim
berza,ma	ber,zama
milion,e	mili,one
ktv,-u	k,tv,-,u
posmatrač,i	posmatra,či
vladin,i	vla,dini
predostrožnost,i	predo,stro,žnosti
nejak,e	ne,jake
žarkuov,o	žar,ku,ovo
insajt,u	in,sajtu
emigrant,i	emi,gran,ti
banka,ma	bankama
kolaps,a	kola,psa
rast,a	rasta
godišnji,m	godišnjim
rast,om	rastom
institut,om	institu,tom
privremen,o	privremeno
srednji,h	srednjih
privremen,og	privremenog
nezaposlen,ima	nezaposl,enima
institucija,ma	institucijama
enver,a	en,vera
diktatorski,m	dikta,torskim
režim,om	reži,mom
nadolazeći,h	na,dola,ze,ćih
vladar,a	vladara
naj,izolovan,ijom	naj,izo,lov,ani,jom
prostor,a	prostora
list,a	lista
karajev,i	kara,jevi
diktator,u	dikta,toru
bogat,iji	boga,tiji
identitet,u	identitetu
brz,og	brzog
problem,i	problemi
noga,ma	nogama
sam,i	sami
prepreka,ma	prepre,kama
tvrdoglav,i	tvrdo,glavi
džejms,a	džej,msa
bejker,a	bej,kera
posed,a	poseda
zaplenjen,ih	za,plen,jenih
manjina,ma	manj,inama
glasnik,u	glasniku
dom,ove	dom,ove
nezbrinut,u	nez,brinu,tu
različitost,i	različitosti
hrišćanski,h	hrišćan,skih
jevrejski,h	jevre,jskih
zahtev,e	zahteve
turski,m	tur,skim
rok,u	roku
fondacija,ma	fon,da,cijama
odvojen,oj	odvo,jenoj
manjinski,m	manj,inskim
grupa,ma	grupama
manjinski,h	manjinskih
amandman,ima	amand,manima
treći,m	trećim
strana,ma	stranama
nerešen,o	ne,rešeno
ustav,u	ustav,u
ran,ijih	ranijih
mahčupjan,u	mah,ču,p,janu
nemusliman,i	ne,muslimani
decenija,ma	decenijama
smer,u	smeru
imovinski,h	imov,inskih
nemuslimanski,h	ne,musliman,skih
trening,u	tren,ingu
stadion,u	stadionu
meč,a	meča
tim,a	tima
bolest,i	bolesti
osnivač,a	osnivača
pozorišni,h	pozori,šnih
rovinj,u	r,ov,in,ju
salon,u	s,alo,nu
rad,ovi	radovi
luksemburg,a	luksem,burga
pakistan,a	pak,ist,ana
višegrad,u	više,gradu
ujedinjen,e	ujedin,jene
krdžali,ju	kr,dž,ali,ju
seminar,a	semin,ara
renomiran,i	ren,o,mi,rani
ekspert,i	eksper,ti
koncert,e	koncer,te
poznati,h	poznatih
kompozitor,a	kompozitora
liponenov,om	li,ponen,ovom
masmedij,a	mas,medija
prav,u	pravu
interes,i	interesi
interes,ima	interesima
prednost,i	prednosti
čest,a	česta
vlasnik,e	vlasni,ke
direktor,e	direk,tore
urednik,a	urednika
sudski,h	sudskih
postupak,a	postupaka
liponenov,e	li,ponen,ove
uvodnik,u	uvod,niku
liponen,a	li,pon,ena
list,ova	listova
zajednica,ma	zajednicama
motivisan,a	motivi,sana
opštinski,h	opšt,inskih
prijem,ima	prije,mima
događaj,e	događaje
haos,a	ha,osa
sprovođenje,m	sprovo,đenjem
ustav,om	ustav,om
aparat,a	aparata
frižider,a	friži,dera
zamrzivač,a	zamr,zi,vača
budžetski,m	budže,tskim
suficit,om	su,fici,tom
deficit,om	defici,tom
spor,ijeg	spo,rijeg
ulog,a	uloga
stran,ih	stranih
muzičar,a	muzičara
ijan,a	i,jana
braun,a	bra,una
planiran,a	planirana
masakr,a	ma,sak,ra
exit,-u	e,x,it,-,u
sad,u	sadu
posetilac,a	posetilaca
izvođač,a	izvođača
akreditovan,ih	akredi,tovanih
izveštač,i	izvešta,či
bbc,-a	bbc,-,a
mtv,-a	m,tv,-,a
ljubitelj,e	ljubi,telje
i,'m	i,',m
izvođač,ima	izvođa,čima
andervorld,a	ander,vor,l,da
posleratni,h	posle,ratnih
naj,poznat,iji	najpoznatiji
koren,e	korene
opis,a	opisa
ovogodišnji,h	ovo,godišnjih
glastonberi,ja	gla,sto,n,be,rija
društven,im	društvenim
tih,u	ti,hu
tekst,u	tekstu
napad,i	napadi
exit,-a	e,x,it,-,a
pominjanje,m	pomin,janjem
masakr,u	ma,sak,ru
mnoštvo,m	mno,štvom
hrvat,ima	hrva,tima
drugi,ma	drugima
rat,u	ratu
sad,a	sada
petrovaradin,u	petrova,rad,inu
nasmejan,a	nasme,jana
festival,i	festi,vali
društven,a	društvena
hašim,om	ha,ši,mom
tači,jem	ta,čijem
diplomatski,m	diplo,matskim
hašim,u	ha,ši,mu
tači,ju	ta,čiju
jakup,om	ja,ku,pom
krasnići,jem	kra,sni,ći,jem
zamenik,om	zameni,kom
leri,jem	le,rijem
rosin,om	ros,inom
rumunski,m	rumun,skim
adrijan,om	ad,rijan,om
čorojanu,om	č,oro,janu,om
hose,a	h,ose,a
luis,a	lu,i,sa
rodrigez,a	rod,ri,ge,za
zapater,a	za,pa,tera
gost,iju	gostiju
nemački,m	nemačkim
štajnmajer,om	š,taj,n,ma,je,rom
brz,o	brzo
potpun,e	potpune
guverner,a	guver,nera
delegat,a	delega,ta
vodeći,h	vodećih
žan,om	ž,anom
lemijer,om	le,mije,rom
investitor,ima	investitorima
očekivan,og	očekivanog
biznis,om	bizni,som
potpredsednik,om	pot,predsednikom
miroljub,om	miro,lju,bom
labus,om	la,bu,som
projekt,ima	projektima
ton,u	tonu
potpun,im	potpu,nim
uspeh,om	uspehom
rat,a	rata
narod,i	narodi
lak,ši	lakši
kongres,u	kongresu
kofi,ja	ko,fija
anan,a	an,ana
prihvatljiv,og	prihvatlji,vog
demokrata,ma	demokra,tama
priznat,i	priznati
udar,a	udara
skor,o	skoro
rezolucija,ma	rezolu,cijama
vremenski,m	vremenskim
okvir,om	okvi,rom
redžep,a	re,dže,pa
tajip,a	ta,ji,pa
erdogan,a	erdo,gana
aerodrom,i	aerodro,mi
brod,ove	bro,dove
avion,e	avione
obim,a	obima
sali,jem	sa,li,jem
žestok,u	žesto,ku
kritičar,i	kritičari
edi,ja	e,dija
problem,om	problemom
pojedinac,a	pojedinaca
zakon,om	zakonom
neuobičajen,o	neuobiča,jeno
otkaz,a	otkaza
osoba,ma	osobama
status,om	statusom
službenik,a	službenika
njen,im	njenim
strog,om	stro,gom
faktor,om	faktorom
visok,e	visoke
ostali,m	ostalim
nosilac,a	nosilaca
monopol,ima	mono,poli,ma
višegodišnji,h	više,godišnjih
monopol,a	mono,pola
pogodnost,i	pogodnosti
monopolist,i	mono,poli,sti
biznismen,a	bizni,smena
opterećen,i	optere,ćeni
cena,ma	cenama
monopol,i	mono,poli
kartel,i	kar,teli
monopolistički,h	mono,poli,stičkih
proizvođač,e	proizvođa,če
domaći,h	domaćih
mmf,-a	mmf,-,a
monopol,e	mono,pole
prehramben,oj	prehramb,enoj
mali,m	malim
prihod,ima	prihodima
nezaposlen,i	ne,zaposleni
kartel,e	kar,tele
reč,i	reči
neobuzdan,a	ne,obuz,dana
nezakonit,o	nezakoni,to
stan,a	stana
unuk,a	unu,ka
intelektualac,a	intelektu,alaca
organizovan,a	organizovana
dokument,u	dokumentu
civil,a	civila
saopštenje,m	saopšt,enjem
penzionisan,i	penzioni,sani
pridruživanje,m	pridru,ži,vanjem
saveznik,a	saveznika
ostali,ma	osta,lima
mek,i	me,ki
star,e	stare
rat,ovi	ratovi
raspad,a	raspada
jednak,i	jednaki
klimav,im	kli,m,av,im
temelj,ima	temelj,ima
prihod,e	prihode
marković,em	mar,kovićem
blok,u	bloku
diplomiran,i	diplomi,rani
bogat,i	bogati
most,a	mosta
mihail,u	miha,ilu
jovović,u	j,ov,oviću
urednik,u	ured,niku
vijest,i	vi,jesti
glava,ma	glav,ama
komunistički,m	komuni,stičkim
vreme,nima	vremenima
neuspeh,a	neuspeha
izazov,i	izazovi
nedelja,ma	nede,ljama
stvarnost,i	stvarnosti
loš,e	loše
slab,a	slaba
nezaposlenost,i	nezaposlenosti
novčan,e	novčane
slab,om	sla,bom
stručnost,i	stru,čnosti
ran,ijim	ranijim
izveštaj,em	izvešta,jem
euleks,-om	eu,le,ks,-,om
mustaf,a	musta,fa
nov,o	novo
transparens,i	trans,paren,si
internešenel,a	inter,ne,š,ene,la
naj,nov,ije	najnovije
severni,m	sever,nim
sastav,u	sastavu
bamir,om	ba,mirom
topi,jem	to,pi,jem
američki,m	američkim
ambasador,om	ambasa,do,rom
džon,om	dž,onom
viters,om	vi,ter,som
pravosudni,m	pravosud,nim
izborni,m	izbor,nim
fudbalski,h	fudbal,skih
balkan,om	balkan,om
fudbalski,m	fudbal,skim
liga,ma	li,gama
kvalifikacioni,h	kvalifika,cionih
hrvat,a	hrvata
prevara,ma	preva,rama
namešten,ih	name,št,enih
nemački,h	nemačkih
fenerbahče,a	f,ener,ba,h,če,a
ulm,a	ul,ma
igrač,a	igrača
genčlerbirligi,ja	gen,č,ler,bir,li,gija
džavdžavljev,ih	dž,av,dž,av,lje,vih
sport,u	sportu
dokaz,e	dokaze
sportski,h	sportskih
skandal,a	skan,dala
poverljiv,ih	pover,ljivih
sumnjiv,im	sumnji,vim
utakmica,ma	utakmi,cama
klupski,h	klu,p,skih
brz,im	br,zim
rasprostranjen,iji	rasprostranj,eniji
msp,-om	msp,-,om
predstavljen,i	predstavljeni
pravni,h	pravnih
usmen,e	us,mene
argument,e	argumente
jordan,a	jor,dana
integritet,a	integriteta
pravo,m	pravom
miloševićev,a	miloševi,ćeva
pravni,m	pravnim
naslednik,om	nasled,nikom
integritet,u	integri,tetu
odvojen,e	odvojene
suveren,e	suver,ene
usmen,og	usmen,og
sudski,m	sud,skim
proces,ima	procesima
rođak,a	rođaka
obzir,a	obzira
krivični,h	krivičnih
kriminalac,a	krimin,alaca
kriminalistički,h	kriminali,stičkih
nemoguć,a	ne,moguća
otpadni,h	otpadnih
priobalni,m	pri,ob,alnim
naj,izolovan,ijih	naj,izo,lov,anijih
zatvoren,ih	zatvor,enih
dubina,ma	dub,inama
kiseonik,a	kiseonika
kiseonik,om	kiseoni,kom
sloj,u	sloju
osetljiv,o	osetlji,vo
poremećaj,e	poremećaje
