jeremić,a	jeremi�,�,�,a
objekt,a	objekt,a
odabran,i	odabrani
nagrađivan,i	na,građ,i,van,i
bernar,a	bernar,a
čumi,ja	č,um,ij,a
njujork,u	njujork,u
staklen,a	staklen,a
stub,ovima	stubovim,a
kvadratni,h	kvadratni,h
transport,a	transport,a
sadržaj,a	sadržaj,a
antikvitet,i	antik,vi,te,ti
privremen,i	privremeni
velik,a	velik,a
međusprat,u	međ,usp,rat,u
staklen,om	stakleno,m
njihov,u	njihov,u
partenon,u	part,en,on,u
vek,ova	vekov,a
hram,a	hram,a
akropolj,u	ak,ro,polj,u
odnos,u	odnos,u
stub,ove	stubov,e
savršenost,i	savršeno,sti
moj,ih	moji,h
svojstven,o	svojstven,o
postepen,o	postepeno
mermer,i	mermer,i
muzej,u	muzej,u
odgovarajući,h	odgovarajući,h
njihov,og	njihovo,g
impresioniran,i	im,pres,i,oni,rani
mermer,a	mermer,a
ime,nom	imeno,m
elginov,i	el,gin,ovi
skulpturni,h	skulptur,ni,h
mermer,ima	mermer,ima
friz,a	fr,iz,a
uzeti,h	uzeti,h
zabat,a	za,ba,ta
erehtejon,a	er,eh,te,jon,a
fragment,e	fragment,e
nov,om	novo,m
liven,im	liv,eni,m
zamena,ma	zamen,am,a
kontinuitet,a	kontinuitet,a
njen,og	njeno,g
mandat,a	mandat,a
organizacija,ma	organizacijam,a
bugarski,h	bugarski,h
mastriht,u	mas,tri,h,tu
određen,im	određeni,m
broj,em	broje,m
beč,u	beč,u
ministar,a	ministar,a
nato,-a	nat,o,-a
vankuver,a	van,kuv,er,a
vladivostok,a	vlad,i,vo,stok,a
dokument,ima	dokumentim,a
obračun,u	obračun,u
pretnja,ma	pretnjam,a
sigurnost,i	sigurnost,i
materijal,ima	materijalim,a
format,u	format,u
zločin,a	zločin,a
prevremen,i	prevremen,i
tržišni,h	tržišni,h
postignut,og	postignuto,g
održiv,og	održivo,g
konflikt,a	konflikt,a
jap,a	japa
hop,a	ho,pa
šefer,a	še,fe,ra
pasi,ja	pas,ij,a
širok,e	širok,e
plakat,a	plakat,a
birač,a	birač,a
kandidat,e	kandidat,e
kandidat,i	kandidat,i
skup,ove	skupov,e
plav,o	plavo
crven,e	crven,e
pobednik,u	pobednik,u
širok,a	širok,a
pokazatelj,a	pokazatelj,a
žestok,a	žestok,a
bilbord,e	bil,bor,de
podeljen,e	podeljen,e
crven,o	crveno
plav,oj	plavo,j
crven,oj	crveno,j
formulisan,a	formulisan,a
hdz,-u	hd,z,-u
pomoćnik,a	pomoćnik,a
sanader,a	san,ad,er,a
jurčić,u	jur,či,ć,u
donator,a	donator,a
izborni,h	izborni,h
poslanički,h	poslanički,h
azil,u	azil,u
sudan,a	sudan,a
veroispovest,i	veroispovest,i
privatnost,i	privatnost,i
katić,a	kat,ić,a
pasoš,em	pasoš,em
zdravstven,u	zdravstven,u
pretendent,e	pret,en,de,n,te
prvi,m	prvim
priznavanje,m	priznavanj,em
sistem,a	sistem,a
zahtev,a	zahteva
podneti,h	podneti,h
bangladeš,a	ban,glad,e,ša
sadam,a	sad,am,a
husein,a	hu,se,in,a
aerodrom,e	aerodrom,e
moguć,om	mogućo,m
moguć,im	mogući,m
odlaganje,m	odlaganj,em
govor,u	govor,u
helsinki,ju	he,l,sin,ki,ju
brisel,om	brisel,o,m
avion,ima	avionim,a
kiparski,h	ki,par,ski,h
linija,ma	linijam,a
puč,a	puč,a
spor,ih	spori,h
moguć,i	mogući
sam,im	samim
stav,u	stav,u
naftovod,a	nafto,vod,a
složen,og	složeno,g
projekt,a	projekt,a
ruski,m	ruski,m
viktor,om	viktor,o,m
kristenko,m	krist,en,kom
iznos,u	iznos,u
sirov,a	sirov,a
aleksandropolis,a	aleksandro,polis,a
egej,a	e,ge,ja
burgas,a	bur,gas,a
kapacitet,a	kapacitet,a
naftovod,om	nafto,vodo,m
moreuz,a	more,uza
jeftin,ije	jeftinij,e
barel,a	bare,la
sirov,e	sirov,e
vlasnički,h	vlasnički,h
tehnički,h	tehnički,h
ekonomski,h	ekonomski,h
parametar,a	parametar,a
predložen,og	predloženo,g
naj,isplativ,ija	na,j,isplativ,ij,a
uslov,i	uslovi
zainteresovan,e	zainteresovan,e
koordinator,a	koordinator,a
partner,ima	partnerim,a
skok,u	skok,u
skok,a	skok,a
otvoren,om	otvoreno,m
film,ovi	filmov,i
karneval,ima	ka,r,ne,val,ima
ritual,ima	ritual,ima
održan,im	održani,m
patras,u	pa,tras,u
izvođač,i	izvođač,i
japan,a	japan,a
festival,a	festival,a
režiser,a	režiser,a
semih,a	sem,i,ha
kaplanoglu,a	kapla,nog,lu,a
nirnberg,u	ni,r,n,ber,g,u
festival,u	festival,u
dugometražni,h	dugo,metr,a,ž,ni,h
igrani,h	igran,i,h
svoj,om	svojo,m
smrt,i	smrt,i
heroj,a	heroj,a
adem,a	ad,em,a
jašari,ja	jaš,ar,ij,a
događaj,a	događaj,a
organizovan,og	organizovano,g
pravosudni,h	pravosudni,h
spremnost,i	spremnost,i
određen,og	određeno,g
januar,u	januar,u
konkurentnost,i	konkurentnost,i
ekspertski,h	ekspertsk,i,h
meglen,om	meg,le,no,m
kunev,om	ku,ne,vo,m
sergej,em	sergej,em
stanišev,im	stan,i,še,vi,m
broj,a	broj,a
evropski,h	evropski,h
fond,ova	fondov,a
budućnost,i	budućnost,i
komesar,om	komesar,o,m
oli,jem	ol,ije,m
planiran,im	planirani,m
strukturni,m	strukturni,m
niz,u	niz,u
bombaški,h	bomb,a,š,ki,h
mlad,ima	mladim,a
slogan,a	slogan,a
pano,ima	pan,oi,ma
spot,ovi	spotov,i
poznat,e	poznat,e
sve,ga	sveg,a
podmladak,a	pod,mlad,ak,a
mlad,i	mladi
zabrinut,i	zabrinut,i
etički,h	etički,h
organizovan,i	organizovani
analitičar,a	analitičar,a
rezultat,e	rezultat,e
poster,a	post,er,a
spot,a	spot,a
zainteresovan,i	zainteresovani
život,a	život,a
ideal,a	ideala
politički,m	politički,m
igrač,i	igrač,i
izlaznost,i	izlaznos,ti
rezultat,ima	rezultatim,a
moguć,a	moguć,a
društven,u	društven,u
njihov,i	njihovi
profil,e	profil,e
fejsbuk,u	fejsbuk,u
internet,a	internet,a
zapadni,m	zapadni,m
demokratija,ma	demokratij,am,a
žestok,e	žestok,e
socijaldemokrat,a	socijaldemokrat,a
opozicioni,h	opozicioni,h
kabinet,a	kabinet,a
stvaranje,m	stvaranje,m
predstojeći,h	predstojeći,h
uzor,u	uzor,u
političar,e	političar,e
vasić,a	vasi�,�,�,a
portal,u	portal,u
blog,ove	blogov,e
bloger,ima	blog,er,ima
progres,a	progres,a
snsd,-a	sn,sd,-a
post,ove	postov,e
blog,u	blog,u
događaj,ima	događajim,a
protivnik,e	protivnik,e
rad,u	rad,u
rasprostranjen,ija	rasprostranjen,ij,a
frekventnost,i	frekventno,sti
mobing,a	mo,bin,ga
izraz,a	izraz,a
učestalost,i	učestalost,i
oblik,a	oblik,a
loš,ih	loši,h
kolega,ma	kolegam,a
statut,ima	statut,ima
spor,ovi	sporov,i
poslodavac,a	poslodavac,a
zaposlen,ih	zaposleni,h
proces,a	proces,a
zavisnost,i	zavisnost,i
prekršaj,a	prekršaj,a
papir,u	papir,u
obazriv,iji	ob,az,ri,vi,j,i
propis,a	propisa
prelaz,u	prelaz,u
kosovo,m	kosovo,m
naj,nov,ijim	najnoviji,m
akt,i	akt,i
tamošnji,h	tamošnji,h
odnos,ima	odnosim,a
barikada,ma	bar,ikad,am,a
neprihvatljiv,o	neprihvatljiv,o
naj,nov,ijem	najnovije,m
događaj,u	događaj,u
interes,e	interes,e
vaš,em	vaše,m
akter,i	akter,i
dijalog,u	dijalog,u
instrument,om	instrumento,m
uspeh,a	uspeh,a
interes,u	interes,u
čitav,e	čitav,e
tehnički,m	tehnički,m
kontekst,u	kontekst,u
čitav,og	čitavo,g
naj,nov,iji	najnoviji
događaj,i	događaj,i
neprihvatljiv,i	neprihvatljiv,i
proces,e	proces,e
njihov,ih	njihovi,h
prioritet,e	prioritet,e
krajnji,h	krajnji,h
rok,ova	rokov,a
njen,om	njeno,m
predlog,u	predlog,u
status,u	status,u
nadziran,u	nadzir,an,u
stanovnik,a	stanovnik,a
ambasador,ima	ambasador,ima
predlog,e	predlog,e
muškarac,a	muškarac,a
tribjun,a	tri,b,juna
agim,a	ag,ima
čeku,a	če,ku,a
prijatelj,i	prijatelj,i
nerešen,og	nerešen,o,g
narod,a	narod,a
duvan,a	duvan,a
radnik,e	radnik,e
ugovor,u	ugovor,u
bulgartabak,a	bu,l,ga,r,tab,ak,a
komentar,u	komentar,u
sindikat,a	sindikat,a
radnik,a	radnik,a
bulgartabakov,e	bu,l,ga,r,tab,ak,ove
blagojevgrad,u	blagoj,ev,gradu
pleven,u	p,leve,nu
delatnost,i	delatnost,i
filijala,ma	filijal,am,a
invest,a	in,vest,a
holding,a	hol,din,ga
vlasnik,a	vlasnik,a
konkurs,a	konkurs,a
ran,ijoj	ranijo,j
finansijski,m	finansijski,m
plan,ovima	planovim,a
sam,a	sam,a
kredit,a	kredit,a
autoput,a	autoput,a
suveren,i	suveren,i
koridor,a	koridor,a
segment,a	segment,a
dug,og	dugo,g
jugoistok,u	jugoistok,u
naplatni,h	naplat,ni,h
ugovor,a	ugovor,a
investicija,ma	investicijam,a
tunel,a	tunel,a
most,ova	mostov,a
nadvožnjak,a	nad,vožnj,ak,a
podvožnjak,a	pod,vožnj,ak,a
prelaz,a	prelaza
tabanovci,ma	ta,ban,ovc,ima
negotin,u	negotin,u
konsultant,a	konsultant,a
obelodanjen,im	ob,el,odan,jen,im
tender,u	tender,u
konzorcijum,a	kon,zor,cij,um,a
investitor,a	investitor,a
hotel,a	hotel,a
turistički,h	turistički,h
put,eva	putev,a
odsek,a	odsek,a
potpisivanje,m	potpisivanje,m
oblik,u	oblik,u
budžet,a	budžet,a
kompanija,ma	kompanijam,a
porodica,ma	porodicam,a
ideja,ma	idejam,a
njihov,oj	njihovo,j
magazin,a	magazin,a
niko,ga	nikog,a
ženski,h	ženski,h
rukovodilac,a	rukovodilac,a
sopstven,i	sopstveni
kredit,ima	kreditim,a
fond,a	fond,a
bankarski,m	bankarski,m
trenutak,a	trenutak,a
noć,i	noć,i
kredit,e	kredit,e
moj,oj	mojo,j
poštovanje,m	poštovanje,m
džentlmen,i	dže,n,tl,men,i
istrajnost,i	istr,aj,nost,i
usluga,ma	uslugam,a
tekstil,a	tekstil,a
konsalting,a	kon,sal,ti,n,ga
žena,ma	ženam,a
prosek,a	prosek,a
program,i	program,i
indikator,i	indikator,i
broj,u	broj,u
biznis,u	biznis,u
retki,h	retki,h
šmatko,m	š,mat,kom
rosatom,a	ros,atom,a
jedinstven,u	jedinstven,u
žestok,i	žestok,i
izvor,e	izvor,e
naš,a	naša
odbor,a	odbor,a
energetski,h	energetski,h
objekt,om	objekto,m
visok,im	visoki,m
seizmički,m	seizmičk,im
aktivnost,ima	aktivnostim,a
verski,h	verski,h
spomenik,a	spomenik,a
izaslanik,a	izaslanik,a
fatmir,om	fa,t,miro,m
sejdiu,om	se,j,di,u,o,m
verski,m	verski,m
zona,ma	zonam,a
spomenik,e	spomenik,e
zaštićen,e	zaštićen,e
mnogi,h	mnogi,h
detalj,a	detalja
stav,ovima	stavovim,a
pokušaj,ima	pokušajim,a
lider,e	lider,e
održiv,i	održivi
rohanov,a	ro,ha,nova
marti,ja	marti,ja
ahtisari,ja	a,hti,sa,ri,ja
albanac,a	albanac,a
ishod,a	ishod,a
vašington,a	vašington,a
prav,i	pravi
urban,a	urban,a
partner,i	partner,i
gledalac,a	gledalac,a
evroimidž,a	ev,ro,imidž,a
mlad,om	mlado,m
doktor,u	doktor,u
gotov,a	gotov,a
distributer,a	distributer,a
glumac,a	glumac,a
naj,poznat,ijih	najpoznatiji,h
snimatelj,a	snima,tel,ja
režiser,om	režiser,o,m
kristof,om	krist,of,o,m
kišlovski,m	kiš,lov,ski,m
avijatičar,a	av,ij,at,i,ča,ra
film,om	filmo,m
lav,a	lav,a
novost,i	novost,i
dnevnik,a	dnevnik,a
buls,e	bu,l,se
kings,e	kin,g,se
kapital,a	kapital,a
divčev,e	di,v,če,ve
dnevnik,u	dnevnik,u
kapital,u	kapital,u
divčev,oj	di,v,če,vo,j
mali,h	mali,h
deoničar,a	de,oni,ča,ra
nepošten,o	ne,pošten,o
deoničar,ima	de,oni,ča,rim,a
tajkun,i	tajkun,i
povećanje,m	povećanje,m
uobičajen,o	uobičajeno
različit,e	različit,e
deoničar,e	de,oni,ča,re
proizvođač,a	proizvođač,a
naj,prodavan,ije	najpr,oda,van,ije
lobist,e	lo,bist,e
sedište,m	sedište,m
priprema,ma	pripremam,a
španski,h	španski,h
španski,m	španski,m
luis,om	luis,o,m
rodrigez,om	ro,dr,i,ge,zo,m
zapatero,m	zapa,tero,m
madrid,u	madrid,u
oblast,ima	oblastim,a
simeon,om	simeon,o,m
sastanak,a	sastanak,a
stol,om	stolo,m
mogućnost,ima	mogućnostim,a
stol,u	stol,u
društven,og	društveno,g
rezultat,a	rezultat,a
red,u	red,u
stav,ova	stavov,a
svečanost,i	svečanost,i
madrid,a	madrid,a
priznanje,m	priznanje,m
doprinos,a	doprinos,a
mladost,i	mladost,i
dom,a	doma
egzil,u	egzil,u
department,a	de,part,men,ta
podsekretar,om	pod,sekretar,o,m
marko,m	marko,m
grosman,om	gro,sm,an,o,m
evroatlantski,h	evr,o,at,lan,t,ski,h
moguć,e	moguće
musliman,a	musliman,a
vojislav,om	vojislav,o,m
boris,om	boris,o,m
tadić,em	tadić,em
svetozar,om	svetozar,o,m
marović,em	mar,ovi,ćem
vuk,om	vuko,m
drašković,em	d,ra,š,kovi,ćem
mladić,a	mladić,a
nalog,a	nalog,a
bivši,h	bivši,h
vlastimir,a	vlas,tim,i,ra
đorđević,a	đorđević,a
sreten,a	srete,na
pavković,a	pa,v,kovi,ć,a
vladimir,a	vladimir,a
lazarević,a	lazarević,a
moć,i	moć,i
grosman,u	gro,sm,an,u
posvećenost,i	posvećenost,i
optužen,og	optuženo,g
naj,tražen,ija	na,j,traženi,ja
osumnjičen,a	osumnjičen,a
mksj,-a	mk,s,-a
pun,a	pun,a
plan,ove	planov,e
jadran,u	jadran,u
prijateljski,h	prijateljski,h
otvoren,ih	otvoreni,h
dve,ju	dvej,u
slovenački,m	slovenački,m
anton,om	anton,o,m
rop,om	ro,pom
novembarski,m	novemba,rs,kim
februar,u	februar,u
datum,a	datum,a
berlin,u	berlin,u
irski,m	irsk,im
berti,jem	ber,tij,em
ahern,om	a,he,r,no,m
šestomesečni,m	šesto,mesečni,m
mandat,om	mandat,o,m
ginter,om	g,inte,ro,m
ferhojgen,om	fe,r,ho,j,genom
povratnik,a	povratnik,a
raseljen,ih	raseljeni,h
pogođen,im	pogođeni,m
fotograf,i	fotograf,i
fotograf,a	fotograf,a
rad,ove	radov,e
štampan,im	štampani,m
tvoj,im	tvoji,m
tomislav,u	tomislav,u
georgijev,u	georgij,ev,u
arhus,u	ar,h,us,u
prvak,a	prvak,a
parter,u	part,er,u
preskok,u	pres,kok,u
kozlić,a	koz,li,ć,a
vežba,ma	vežbam,a
razboj,u	ra,zbo,ju
srebrn,u	srebrn,u
bronzan,u	bronzan,u
višeboj,u	više,boj,u
ostali,h	ostali,h
učesnik,a	učesnik,a
karika,ma	karik,am,a
planina,ma	planinam,a
zemljotres,u	zemljotres,u
poreklo,m	poreklo,m
naj,talentovan,ijih	na,j,talentovan,ij,i,h
festivalski,h	festival,ski,h
florijan,a	flor,ij,an,a
donersmark,a	don,er,smar,ka
žiri,ja	žirij,a
porumboju,a	por,um,boj,u,a
bukurešt,a	bukurešt,a
biometrijski,m	bi,omet,ri,j,ski,m
karta,ma	kartam,a
crnogorski,m	crnogorski,m
milan,om	milano,m
roćen,om	ro,ćen,o,m
sporazum,i	sporazum,i
pun,o	puno
domen,ima	domenim,a
turist,ima	turistim,a
ulcinj,u	u,l,cin,ju
pasoš,a	pasoš,a
moj,a	moj,a
moj,u	moj,u
pun,e	pun,e
gaš,i	ga,š,i
sporazum,om	sporazumo,m
godina,ma	godinam,a
migracija,ma	migracijam,a
putni,h	putni,h
sporazum,ima	sporazumim,a
moguć,em	moguće,m
sporazum,u	sporazum,u
datum,e	datum,e
kandidat,ima	kandidatim,a
država,ma	državam,a
seminar,u	seminar,u
dokument,e	dokument,e
slab,og	slabo,g
privilegovan,o	privilegovan,o
gol,ove	golov,e
živ,lji	življ,i
stav,ovi	stavov,i
dobrosusedski,h	dobro,sused,ski,h
stacioniran,ih	sta,ci,oni,rani,h
umor,u	umor,u
samit,om	samit,o,m
usvajanje,m	usvajanje,m
njen,a	njen,a
različit,im	različiti,m
određivanje,m	određivanje,m
reper,a	repe,ra
reformski,m	reformski,m
poduhvat,ima	poduhvat,ima
jezik,u	jezik,u
tekst,a	tekst,a
majkrosoftov,e	majk,ros,of,tov,e
program,e	program,e
naziv,a	naziva
softverski,h	softverski,h
element,i	element,i
meni,ja	menij,a
prevod,a	prevod,a
poznat,im	poznati,m
lingvist,ima	lingvist,ima
kompjuter,a	kompjuter,a
majkrosoft,a	majk,ros,of,ta
makedonac,a	mak,ed,ona,ca
korisnik,a	korisnik,a
majkrosoftov,ih	majk,ros,of,tov,i,h
piratski,h	pi,rat,ski,h
softver,a	softver,a
licencirani,h	licenc,i,rani,h
autorski,h	autorski,h
nasleđe,m	nasleđe,m
ratni,h	ratni,h
jedinstven,og	jedinstveno,g
mehanizam,a	mehanizam,a
chp,-a	ch,p,-a
vid,ova	vidov,a
činjenica,ma	činjenicam,a
protokol,u	protokol,u
prošlost,i	prošlost,i
usklađen,ih	usklađen,i,h
ratni,m	ratni,m
zločin,ima	zločinim,a
bilten,u	bil,ten,u
mirsad,a	mir,sad,a
document,e	do,cu,men,te
određen,i	određeni
osumnjičen,ima	osumnjičeni,ma
zločin,i	zločin,i
neorganizovan,ih	ne,organizovani,h
određen,ih	određeni,h
neodređen,ih	neodređen,i,h
student,e	student,e
aktivist,e	aktivist,e
tema,ma	temam,a
ešdaunov,a	e,š,da,uno,va
pedi,ja	pe,dija
ešdaun,a	e,š,da,un,a
suštinski,m	suštinski,m
princip,ima	principim,a
dogovor,u	dogovor,u
izvodljivost,i	izvodljivost,i
sds,-a	sd,s,-a
policijski,m	policijski,m
neprihvatljiv,e	neprihvatljiv,e
potpun,i	potpuni
prosperitet,a	prosperitet,a
izgled,i	izgled,i
entitet,a	entitet,a
zasnovan,ih	zasnovani,h
dragan,a	dragan,a
čović,a	č,ovi,ć,a
milorad,a	milorad,a
dodik,a	dodik,a
napor,ima	naporim,a
avaz,u	av,az,u
kapacitet,om	kapaciteto,m
brčko,m	brčk,o,m
fikret,a	fi,kreta
hasanović,a	hasa,novi,ć,a
pan,a	pa,na
panić,a	pa,ni,ć,a
atentat,om	atentat,o,m
đinđić,a	đinđić,a
ubistvo,m	ubistvo,m
zoran,a	zoran,a
ultranacionalist,e	ultr,an,aci,ona,list,e
šešelj,a	šešelj,a
đinđićev,o	đinđić,ev,o
luković,a	luk,ovi,ć,a
osumnjičen,og	osumnjičeno,g
paravojni,h	par,av,o,j,ni,h
slobodan,a	slobodan,a
milošević,a	milošević,a
luković,u	luk,ovi,ć,u
optužen,ima	optuženi,ma
velik,ih	veliki,h
razmer,a	razmer,a
paravojni,m	par,av,o,j,ni,m
struktura,ma	strukturam,a
formiran,im	formirani,m
rat,ova	ratov,a
komandant,a	komandant,a
jso,-a	js,o,-a
automobil,a	automobil,a
reformist,a	reform,ist,a
nacionalist,e	nacionalist,e
tomić,a	tomi�,�,�,a
rade,ta	rad,et,a
bulatović,a	bu,lat,ovi,ć,a
savetnik,a	savetnik,a
atentat,a	atentat,a
slučaj,a	slučaja
đinđićev,e	đinđić,eve
suđenje,m	suđenj,em
propust,a	propust,a
sekulić,a	sekuli�,�,�,a
milan,a	milan,a
miljojković,a	mil,jo,j,kovi,ć,a
bekim,a	bek,ima
fehmiju,a	fe,h,mi,ju,a
istaknut,u	istaknut,u
stan,u	stan,u
glumčev,a	glum,če,va
prizren,a	prizren,a
ljubitelj,i	ljubitelj,i
fehmiju,u	fe,h,mi,ju,u
film,ove	filmov,e
narod,ima	narodim,a
gvozden,e	gvozden,e
blok,a	blok,a
naj,čuven,ijih	na,j,čuveni,j,i,h
pijan,i	pija,ni
go,lim	goli,m
fehmijuov,e	fe,h,mi,ju,ove
režiser,ima	režiser,ima
film,ovima	filmovim,a
pad,u	pad,u
poznat,a	poznat,a
visok,oj	visoko,j
smrtnost,i	smrtnost,i
pad,om	pado,m
živorođeni,h	živo,rođeni,h
društven,ih	društveni,h
razvod,om	razvod,o,m
brak,a	brak,a
karijera,ma	karijer,am,a
sociodemografski,m	soci,odem,o,graf,ski,m
abortus,ima	abortus,ima
instat,-a	in,st,at,-a
neprijavljen,e	ne,prijavljen,e
abortus,e	abortus,e
vezan,i	vezani
mlad,im	mladim
dete,tu	detet,u
abortus,i	abortus,i
dervišijev,im	de,r,viši,je,vi,m
roditelj,i	roditelj,i
nov,ije	novije
sused,i	sused,i
balkanski,m	balkanski,m
berza,ma	berzam,a
milion,e	milion,e
ktv,-u	kt,v,-u
posmatrač,i	posmatrač,i
vladin,i	vladini
predostrožnost,i	predostrožnost,i
nejak,e	nej,ak,e
žarkuov,o	žark,u,ovo
insajt,u	in,sajt,u
emigrant,i	em,igran,ti
banka,ma	bankam,a
kolaps,a	kolaps,a
rast,a	rasta
godišnji,m	godišnji,m
rast,om	rasto,m
institut,om	institut,o,m
privremen,o	privremeno
srednji,h	srednji,h
privremen,og	privremeno,g
nezaposlen,ima	nezaposleni,ma
institucija,ma	institucijam,a
enver,a	en,vera
diktatorski,m	diktator,ski,m
režim,om	režimo,m
nadolazeći,h	nadol,az,e,ć,i,h
vladar,a	vladar,a
naj,izolovan,ijom	na,j,izolovani,jo,m
prostor,a	prostor,a
list,a	list,a
karajev,i	kar,aj,ev,i
diktator,u	diktator,u
bogat,iji	bogatij,i
identitet,u	identitet,u
brz,og	brzo,g
problem,i	problem,i
noga,ma	nogam,a
sam,i	sami
prepreka,ma	preprekam,a
tvrdoglav,i	tvrdo,glav,i
džejms,a	džejms,a
bejker,a	be,j,ke,ra
posed,a	posed,a
zaplenjen,ih	zaplen,jen,i,h
manjina,ma	manjinam,a
glasnik,u	glasnik,u
dom,ove	domov,e
nezbrinut,u	nez,brinut,u
različitost,i	različitost,i
hrišćanski,h	hrišćanski,h
jevrejski,h	jevrejski,h
zahtev,e	zahtev,e
turski,m	turski,m
rok,u	rok,u
fondacija,ma	fondacij,am,a
odvojen,oj	odvojeno,j
manjinski,m	manjinski,m
grupa,ma	grupam,a
manjinski,h	manjinski,h
amandman,ima	amandman,ima
treći,m	treći,m
strana,ma	stranam,a
nerešen,o	nerešen,o
ustav,u	ustav,u
ran,ijih	raniji,h
mahčupjan,u	ma,h,ču,p,ja,nu
nemusliman,i	nem,us,lim,an,i
decenija,ma	decenijam,a
smer,u	smer,u
imovinski,h	imovinski,h
nemuslimanski,h	nem,us,lim,an,ski,h
trening,u	trening,u
stadion,u	stadion,u
meč,a	meč,a
tim,a	tim,a
bolest,i	bolest,i
osnivač,a	osnivač,a
pozorišni,h	pozorišni,h
rovinj,u	ro,vin,ju
salon,u	salon,u
rad,ovi	radov,i
luksemburg,a	luksemburg,a
pakistan,a	pakistan,a
višegrad,u	više,gradu
ujedinjen,e	ujedinjen,e
krdžali,ju	kr,d,žali,ju
seminar,a	seminar,a
renomiran,i	ren,o,mira,ni
ekspert,i	ekspert,i
koncert,e	koncert,e
poznati,h	poznati,h
kompozitor,a	kompozitor,a
liponenov,om	li,pone,novo,m
masmedij,a	mas,medij,a
prav,u	prav,u
interes,i	interes,i
interes,ima	interesim,a
prednost,i	prednost,i
čest,a	čest,a
vlasnik,e	vlasnik,e
direktor,e	direktor,e
urednik,a	urednik,a
sudski,h	sudski,h
postupak,a	postupak,a
liponenov,e	li,pone,nov,e
uvodnik,u	uvodni,ku
liponen,a	li,pone,na
list,ova	listov,a
zajednica,ma	zajednicam,a
motivisan,a	motivisan,a
opštinski,h	opštinski,h
prijem,ima	prijem,ima
događaj,e	događaje
haos,a	haos,a
sprovođenje,m	sprovođenje,m
ustav,om	ustavo,m
aparat,a	aparat,a
frižider,a	frižider,a
zamrzivač,a	za,mrz,i,va,ča
budžetski,m	budžetski,m
suficit,om	sufici,tom
deficit,om	deficit,o,m
spor,ijeg	sporij,eg
ulog,a	ulog,a
stran,ih	strani,h
muzičar,a	muzičar,a
ijan,a	ija,na
braun,a	brau,na
planiran,a	planiran,a
masakr,a	masakr,a
exit,-u	e,xi,t,-u
sad,u	sad,u
posetilac,a	posetilac,a
izvođač,a	izvođač,a
akreditovan,ih	akreditovan,i,h
izveštač,i	izvešta,či
bbc,-a	bb,c,-a
mtv,-a	mt,v,-a
ljubitelj,e	ljubitelj,e
i,'m	i,',m
izvođač,ima	izvođač,ima
andervorld,a	an,de,r,vo,r,l,da
posleratni,h	posleratni,h
naj,poznat,iji	najpoznatiji
koren,e	koren,e
opis,a	opisa
ovogodišnji,h	ovogodišnj,i,h
glastonberi,ja	gla,ston,ber,ij,a
društven,im	društveni,m
tih,u	tih,u
tekst,u	tekst,u
napad,i	napad,i
exit,-a	e,xi,t,-a
pominjanje,m	pominjanj,em
masakr,u	masakr,u
mnoštvo,m	mnoštvo,m
hrvat,ima	hrvatim,a
drugi,ma	drugim,a
rat,u	rat,u
sad,a	sad,a
petrovaradin,u	petrova,radi,nu
nasmejan,a	nasmejan,a
festival,i	festival,i
društven,a	društven,a
hašim,om	ha,š,im,o,m
tači,jem	tač,ije,m
diplomatski,m	diplomatski,m
hašim,u	ha,š,im,u
tači,ju	tač,ij,u
jakup,om	jak,up,o,m
krasnići,jem	kra,sn,ić,ije,m
zamenik,om	zamenik,o,m
leri,jem	le,ri,je,m
rosin,om	ros,in,o,m
rumunski,m	rumunski,m
adrijan,om	ad,ri,ja,no,m
čorojanu,om	č,or,o,ja,nu,o,m
hose,a	hos,e,a
luis,a	luis,a
rodrigez,a	ro,dr,i,ge,za
zapater,a	zapa,ter,a
gost,iju	gostij,u
nemački,m	nemački,m
štajnmajer,om	šta,j,n,maj,er,o,m
brz,o	brzo
potpun,e	potpun,e
guverner,a	guverner,a
delegat,a	delegat,a
vodeći,h	vodeći,h
žan,om	žan,o,m
lemijer,om	le,mi,je,ro,m
investitor,ima	investitorim,a
očekivan,og	očekivano,g
biznis,om	biznis,o,m
potpredsednik,om	potpredsednik,o,m
miroljub,om	mir,o,ljub,o,m
labus,om	la,bu,som
projekt,ima	projektim,a
ton,u	ton,u
potpun,im	potpuni,m
uspeh,om	uspeho,m
rat,a	rat,a
narod,i	narod,i
lak,ši	lakši
kongres,u	kongres,u
kofi,ja	ko,fi,ja
anan,a	an,an,a
prihvatljiv,og	prihvatljivo,g
demokrata,ma	demokrat,am,a
priznat,i	priznati
udar,a	udara
skor,o	skoro
rezolucija,ma	rezolucij,am,a
vremenski,m	vremenski,m
okvir,om	okviro,m
redžep,a	re,džep,a
tajip,a	ta,j,ipa
erdogan,a	erdoga,na
aerodrom,i	aerodrom,i
brod,ove	brodov,e
avion,e	avion,e
obim,a	obim,a
sali,jem	sal,ije,m
žestok,u	žestok,u
kritičar,i	kritičar,i
edi,ja	edi,ja
problem,om	problemo,m
pojedinac,a	pojedinac,a
zakon,om	zakono,m
neuobičajen,o	neuobičajen,o
otkaz,a	otkaza
osoba,ma	osobam,a
status,om	statuso,m
službenik,a	službenik,a
njen,im	njeni,m
strog,om	strogo,m
faktor,om	faktoro,m
visok,e	visok,e
ostali,m	ostalim
nosilac,a	nosilac,a
monopol,ima	monopol,ima
