jeremić,a	jere,mić,a
mermer,i	mer,meri
muzej,u	muzej,u
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	imp,resio,niran,i
mermer,a	mer,mera
ime,nom	imenom
elginov,i	e,l,gin,ovi
skulpturni,h	skulptur,nih
mermer,ima	mer,merim,a
friz,a	fri,z,a
uzeti,h	uzeti,h
zabat,a	zaba,t,a
erehtejon,a	ere,hte,jona
fragment,e	fragment,e
nov,om	novom
liven,im	live,nim
zamena,ma	zamen,ama
kontinuitet,a	kontinuitet,a
njen,og	njenog
mandat,a	mandat,a
organizacija,ma	organizacijama
bugarski,h	bugarski,h
mastriht,u	mast,rih,t,u
određen,im	određenim
broj,em	brojem
beč,u	beč,u
ministar,a	ministar,a
nato,-a	0,,,1,,,2,,,3,nato,-,a
vankuver,a	van,k,uver,a
vladivostok,a	vladi,vost,oka
dokument,ima	dokumentima
obračun,u	obračun,u
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	format,u
zločin,a	zločina
prevremen,i	prev,remeni
tržišni,h	tržišni,h
postignut,og	postignut,o,g
održiv,og	održivog
konflikt,a	konflikt,a
jap,a	japa
hop,a	hop,a
šefer,a	šef,era
pasi,ja	pasi,j,a
širok,e	širok,e
plakat,a	plak,ata
birač,a	birač,a
kandidat,e	kandidat,e
kandidat,i	kandidat,i
skup,ove	skupov,e
plav,o	plav,o
crven,e	crvene
pobednik,u	pobednik,u
širok,a	širok,a
pokazatelj,a	pokazatelja
žestok,a	å¾,esto,k,a
bilbord,e	bil,bor,d,e
podeljen,e	podeljen,e
crven,o	crveno
plav,oj	plav,o,j
crven,oj	crveno,j
formulisan,a	formulisan,a
hdz,-u	0,,,1,,,2,h,d,z,-,u
pomoćnik,a	pomoćnik,a
sanader,a	sana,dera
jurčić,u	jur,čić,u
donator,a	dona,tora
izborni,h	izborni,h
poslanički,h	poslani,čkih
azil,u	azil,u
sudan,a	suda,na
veroispovest,i	vero,ispo,vesti
privatnost,i	privatnosti
katić,a	kati,äĩ,a
pasoš,em	pas,oše,m
zdravstven,u	zdravstvenu
pretendent,e	prete,nden,t,e
prvi,m	prvi,m
priznavanje,m	prizna,vanjem
sistem,a	sistema
zahtev,a	zahteva
podneti,h	podne,tih
bangladeš,a	ban,glad,eša
sadam,a	sada,m,a
husein,a	h,use,ina
aerodrom,e	aerodrom,e
moguć,om	moguć,o,m
moguć,im	mogući,m
odlaganje,m	odlagan,jem
govor,u	govoru
helsinki,ju	hel,sin,kij,u
brisel,om	bris,elom
avion,ima	avion,ima
kiparski,h	kip,arskih
linija,ma	linija,m,a
puč,a	p,uča
spor,ih	spori,h
moguć,i	mogući
sam,im	samim
stav,u	stavu
naftovod,a	naft,ovod,a
složen,og	složeno,g
projekt,a	projekta
ruski,m	ruski,m
viktor,om	viktor,o,m
kristenko,m	krist,enko,m
iznos,u	iznosu
sirov,a	sirov,a
aleksandropolis,a	aleksandr,opol,isa
egej,a	ege,j,a
burgas,a	burg,asa
kapacitet,a	kapaciteta
naftovod,om	naft,ovod,o,m
moreuz,a	more,uza
jeftin,ije	jeftinij,e
barel,a	bare,l,a
sirov,e	sirov,e
vlasnički,h	vlasni,čkih
tehnički,h	tehničkih
ekonomski,h	ekonomskih
parametar,a	parametara
predložen,og	predloženo,g
naj,isplativ,ija	naj,isplati,vija
uslov,i	uslovi
zainteresovan,e	zainteresovan,e
koordinator,a	koordinat,ora
partner,ima	partneri,m,a
skok,u	skok,u
skok,a	skok,a
otvoren,om	otvorenom
film,ovi	filmovi
karneval,ima	kar,nev,alima
ritual,ima	ritual,ima
održan,im	održan,i,m
patras,u	patr,asu
izvođač,i	izvođači
japan,a	japan,a
festival,a	festivala
režiser,a	reži,ser,a
semih,a	semi,h,a
kaplanoglu,a	kap,lano,glu,a
nirnberg,u	nir,n,berg,u
festival,u	festival,u
dugometražni,h	dugo,metra,žni,h
igrani,h	igran,i,h
svoj,om	svojom
smrt,i	smrti
heroj,a	heroj,a
adem,a	adem,a
jašari,ja	jaš,arija
događaj,a	događaja
organizovan,og	organizovanog
pravosudni,h	pravosu,dnih
spremnost,i	spremnost,i
određen,og	određenog
januar,u	januar,u
konkurentnost,i	konkurentnosti
ekspertski,h	ekspert,skih
meglen,om	m,egle,nom
kunev,om	kun,evom
sergej,em	ser,g,eje,m
stanišev,im	staniš,evim
broj,a	broja
evropski,h	evropskih
fond,ova	fond,ova
budućnost,i	budućnosti
komesar,om	kome,sar,o,m
oli,jem	olij,e,m
planiran,im	planirani,m
strukturni,m	strukturni,m
niz,u	nizu
bombaški,h	bomba,ških
mlad,ima	mladim,a
slogan,a	slog,ana
pano,ima	pan,oim,a
spot,ovi	spot,ovi
poznat,e	poznate
sve,ga	svega
podmladak,a	pod,mlad,aka
mlad,i	mladi
zabrinut,i	zabrinut,i
etički,h	etičkih
organizovan,i	organizovani
analitičar,a	analitičar,a
rezultat,e	rezultate
poster,a	poste,r,a
spot,a	spot,a
zainteresovan,i	zainteresovani
život,a	života
ideal,a	ideal,a
politički,m	političkim
igrač,i	igrači
izlaznost,i	izlazn,osti
rezultat,ima	rezultatima
moguć,a	moguća
društven,u	društvenu
njihov,i	njihovi
profil,e	profil,e
fejsbuk,u	f,ejs,buku
internet,a	interneta
zapadni,m	zapadni,m
demokratija,ma	demokratij,ama
žestok,e	å¾,esto,k,e
socijaldemokrat,a	socijaldemokrat,a
opozicioni,h	opozici,onih
kabinet,a	kab,inet,a
stvaranje,m	stvaranje,m
predstojeći,h	predst,ojeć,i,h
uzor,u	uzor,u
političar,e	političar,e
vasić,a	vasi,äĩ,a
portal,u	portal,u
blog,ove	blo,gove
bloger,ima	blo,geri,m,a
progres,a	progres,a
snsd,-a	0,,,1,,,2,,,3,s,n,sd,-,a
post,ove	posto,ve
blog,u	blo,g,u
događaj,ima	događajima
protivnik,e	protivnik,e
rad,u	radu
rasprostranjen,ija	rasprostranjen,ija
frekventnost,i	frekventn,osti
mobing,a	mobi,nga
izraz,a	izraza
učestalost,i	učestalosti
oblik,a	oblika
loš,ih	loši,h
kolega,ma	kolegama
statut,ima	statut,ima
spor,ovi	sporo,v,i
poslodavac,a	poslodavac,a
zaposlen,ih	zaposlenih
proces,a	procesa
zavisnost,i	zavisnosti
prekršaj,a	prekršaj,a
papir,u	papir,u
obazriv,iji	oba,z,rivi,j,i
propis,a	propisa
prelaz,u	prelaz,u
kosovo,m	kosovo,m
naj,nov,ijim	naj,novij,i,m
akt,i	akti
tamošnji,h	tamo,šnjih
odnos,ima	odnosima
barikada,ma	bari,kada,m,a
neprihvatljiv,o	neprihvatljiv,o
naj,nov,ijem	naj,novij,e,m
događaj,u	događaj,u
interes,e	interese
vaš,em	vaše,m
akter,i	akteri
dijalog,u	dijalog,u
instrument,om	instrument,o,m
uspeh,a	uspeha
interes,u	interesu
čitav,e	čitav,e
tehnički,m	tehnički,m
kontekst,u	kontekstu
čitav,og	čitavog
naj,nov,iji	naj,novij,i
događaj,i	događaji
neprihvatljiv,i	neprihvatljiv,i
proces,e	procese
njihov,ih	njihovih
prioritet,e	prioritet,e
krajnji,h	krajnji,h
rok,ova	rokova
njen,om	njenom
predlog,u	predlog,u
status,u	status,u
nadziran,u	nad,ziran,u
stanovnik,a	stanovnika
ambasador,ima	ambasador,ima
predlog,e	predlog,e
muškarac,a	muškaraca
tribjun,a	trib,juna
agim,a	agi,m,a
čeku,a	čeku,a
prijatelj,i	prijatelji
nerešen,og	nere,šeno,g
narod,a	naroda
duvan,a	duva,na
radnik,e	radnik,e
ugovor,u	ugovoru
bulgartabak,a	bul,gar,taba,k,a
komentar,u	komentar,u
sindikat,a	sindikata
radnik,a	radnika
bulgartabakov,e	bul,gar,taba,kove
blagojevgrad,u	blago,jev,gradu
pleven,u	ple,venu
delatnost,i	delatnosti
filijala,ma	fili,jala,m,a
invest,a	invest,a
holding,a	hol,din,g,a
vlasnik,a	vlasnika
konkurs,a	konkurs,a
ran,ijoj	ranij,o,j
finansijski,m	finansijskim
plan,ovima	planovi,m,a
sam,a	sama
kredit,a	kredita
autoput,a	auto,puta
suveren,i	suveren,i
koridor,a	koridor,a
segment,a	segmenta
dug,og	dugog
jugoistok,u	jugoisto,k,u
naplatni,h	naplat,nih
ugovor,a	ugovora
investicija,ma	investicija,m,a
tunel,a	tun,ela
most,ova	most,ova
nadvožnjak,a	nad,vožnj,aka
podvožnjak,a	pod,vožnj,aka
prelaz,a	prelaza
tabanovci,ma	taba,novc,ima
negotin,u	nego,tinu
konsultant,a	konsult,anta
obelodanjen,im	obel,odan,jenim
tender,u	tende,r,u
konzorcijum,a	konz,orci,juma
investitor,a	investitora
hotel,a	hotela
turistički,h	turističkih
put,eva	puteva
odsek,a	odsek,a
potpisivanje,m	potpis,ivanjem
oblik,u	obliku
budžet,a	budžeta
kompanija,ma	kompanija,m,a
porodica,ma	porodica,m,a
ideja,ma	ideja,m,a
njihov,oj	njihovoj
magazin,a	magazin,a
niko,ga	niko,g,a
ženski,h	ženski,h
rukovodilac,a	rukovodilac,a
sopstven,i	sopstveni
kredit,ima	krediti,m,a
fond,a	fonda
bankarski,m	bankarsk,i,m
trenutak,a	trenutak,a
noć,i	noći
kredit,e	kredit,e
moj,oj	moj,o,j
poštovanje,m	poštovanje,m
džentlmen,i	dže,n,t,l,meni
istrajnost,i	istra,jnost,i
usluga,ma	uslugama
tekstil,a	tekst,ila
konsalting,a	kons,alt,inga
žena,ma	žena,m,a
prosek,a	prosek,a
program,i	programi
indikator,i	indikatori
broj,u	broju
biznis,u	biznis,u
retki,h	retki,h
šmatko,m	å¡,mat,kom
rosatom,a	ros,atom,a
jedinstven,u	jedinstvenu
žestok,i	å¾,esto,k,i
izvor,e	izvore
naš,a	naša
odbor,a	odbora
energetski,h	energetskih
objekt,om	objekt,o,m
visok,im	visokim
seizmički,m	se,izmi,čkim
aktivnost,ima	aktivnostima
verski,h	verski,h
spomenik,a	spomenika
izaslanik,a	iza,slanik,a
fatmir,om	fat,miro,m
sejdiu,om	s,ej,d,i,u,om
verski,m	verski,m
zona,ma	zona,m,a
spomenik,e	spomenik,e
zaštićen,e	zaštićen,e
mnogi,h	mnogih
detalj,a	detalja
stav,ovima	stavovima
pokušaj,ima	pokušaj,ima
lider,e	lider,e
održiv,i	održiv,i
rohanov,a	r,o,han,ova
marti,ja	marti,j,a
ahtisari,ja	aht,isa,rija
albanac,a	alban,aca
ishod,a	ishoda
vašington,a	vašington,a
prav,i	pravi
urban,a	urban,a
partner,i	partneri
gledalac,a	gledala,c,a
evroimidž,a	evro,imi,dža
mlad,om	mlado,m
doktor,u	doktor,u
gotov,a	gotov,a
distributer,a	distribut,era
glumac,a	glumac,a
naj,poznat,ijih	najpoznatiji,h
snimatelj,a	snima,telja
režiser,om	reži,ser,o,m
kristof,om	krist,ofo,m
kišlovski,m	kiš,lov,skim
avijatičar,a	avija,tičara
film,om	filmo,m
lav,a	lava
novost,i	novosti
dnevnik,a	dnevnik,a
buls,e	bul,se
kings,e	king,se
kapital,a	kapitala
divčev,e	div,čev,e
dnevnik,u	dnevnik,u
kapital,u	kapital,u
divčev,oj	div,čev,o,j
mali,h	malih
deoničar,a	deo,ničar,a
nepošten,o	nepo,šten,o
deoničar,ima	deo,ničar,ima
tajkun,i	taj,kun,i
povećanje,m	povećanjem
uobičajen,o	uobičajeno
različit,e	različite
deoničar,e	deo,ničar,e
proizvođač,a	proizvođača
naj,prodavan,ije	najpr,odava,nije
lobist,e	lob,iste
sedište,m	sedište,m
priprema,ma	priprema,m,a
španski,h	špansk,i,h
španski,m	špansk,i,m
luis,om	lui,som
rodrigez,om	rodr,ige,zom
zapatero,m	zapa,tero,m
madrid,u	mad,rid,u
oblast,ima	oblastima
simeon,om	sime,onom
sastanak,a	sastanak,a
stol,om	stol,o,m
mogućnost,ima	mogućnostima
stol,u	stol,u
društven,og	društvenog
rezultat,a	rezultata
red,u	redu
stav,ova	stavova
svečanost,i	svečano,sti
madrid,a	mad,rida
priznanje,m	priznanje,m
doprinos,a	doprinosa
mladost,i	mladost,i
dom,a	doma
egzil,u	egz,ilu
department,a	dep,art,menta
podsekretar,om	podse,kreta,rom
marko,m	marko,m
grosman,om	gro,sman,o,m
evroatlantski,h	evro,atl,ant,skih
moguć,e	moguće
musliman,a	musliman,a
vojislav,om	vojislav,o,m
boris,om	boris,o,m
tadić,em	tadi,ćem
svetozar,om	sveto,zar,o,m
marović,em	mar,oviće,m
vuk,om	vuko,m
drašković,em	dra,škovi,ćem
mladić,a	mladić,a
nalog,a	nalog,a
bivši,h	bivši,h
vlastimir,a	vlasti,mira
đorđević,a	đorđević,a
sreten,a	sret,ena
pavković,a	pav,kovića
vladimir,a	vladimira
lazarević,a	lazarević,a
moć,i	moći
grosman,u	gro,sman,u
posvećenost,i	posvećenost,i
optužen,og	optužen,o,g
naj,tražen,ija	najt,raženij,a
osumnjičen,a	osumnjičen,a
mksj,-a	0,,,1,,,2,,,3,m,k,s,j,-,a
pun,a	puna
plan,ove	planove
jadran,u	jad,ranu
prijateljski,h	prijateljski,h
otvoren,ih	otvoreni,h
dve,ju	dve,j,u
slovenački,m	slovenačk,i,m
anton,om	anton,o,m
rop,om	ropo,m
novembarski,m	novembar,skim
februar,u	februaru
datum,a	datum,a
berlin,u	berlin,u
irski,m	irsk,i,m
berti,jem	bert,ijem
ahern,om	a,her,nom
šestomesečni,m	šesto,mesečn,i,m
mandat,om	mandat,o,m
ginter,om	gin,tero,m
ferhojgen,om	fer,h,o,j,geno,m
povratnik,a	povratn,ika
raseljen,ih	rase,ljenih
pogođen,im	pogo,đenim
fotograf,i	fotografi
fotograf,a	fotograf,a
rad,ove	radove
štampan,im	štampan,i,m
tvoj,im	tvoj,i,m
tomislav,u	tomi,slav,u
georgijev,u	geo,rgij,evu
arhus,u	arh,usu
prvak,a	prva,k,a
parter,u	part,eru
preskok,u	pres,kok,u
kozlić,a	koz,lić,a
vežba,ma	vežba,m,a
razboj,u	razb,oju
srebrn,u	srebrn,u
bronzan,u	bro,n,zan,u
višeboj,u	više,boj,u
ostali,h	ostalih
učesnik,a	učesnika
karika,ma	kari,kama
planina,ma	planina,m,a
zemljotres,u	zemljotres,u
poreklo,m	poreklom
naj,talentovan,ijih	najt,alen,tovani,jih
festivalski,h	festival,skih
florijan,a	flor,ijana
donersmark,a	done,r,sma,rka
žiri,ja	å¾,iri,j,a
porumboju,a	poru,mbo,j,u,a
bukurešt,a	buku,reš,t,a
biometrijski,m	biom,etri,jskim
karta,ma	kart,ama
crnogorski,m	crnogorsk,i,m
milan,om	milan,o,m
roćen,om	r,oće,nom
sporazum,i	sporazum,i
pun,o	puno
domen,ima	domen,ima
turist,ima	turisti,m,a
ulcinj,u	u,lci,nju
pasoš,a	pas,o,å¡,a
moj,a	moj,a
moj,u	moj,u
pun,e	pune
gaš,i	g,aši
sporazum,om	sporazum,o,m
godina,ma	godinama
migracija,ma	migracija,m,a
putni,h	putni,h
sporazum,ima	sporazum,ima
moguć,em	moguće,m
sporazum,u	sporazum,u
datum,e	datum,e
kandidat,ima	kandidat,ima
država,ma	državama
seminar,u	semi,naru
dokument,e	dokument,e
slab,og	slabo,g
privilegovan,o	priv,ileg,ovano
gol,ove	golo,ve
živ,lji	življ,i
stav,ovi	stavovi
dobrosusedski,h	dobro,sused,skih
stacioniran,ih	stacion,iranih
umor,u	umor,u
samit,om	sami,tom
usvajanje,m	usvajanje,m
njen,a	njena
različit,im	različitim
određivanje,m	određivanje,m
reper,a	rep,era
reformski,m	reform,skim
poduhvat,ima	poduhvat,ima
jezik,u	jeziku
tekst,a	teksta
majkrosoftov,e	majk,ros,oft,ove
program,e	programe
naziv,a	naziva
softverski,h	softverski,h
element,i	elementi
meni,ja	meni,j,a
prevod,a	prevod,a
poznat,im	poznati,m
lingvist,ima	lingvisti,m,a
kompjuter,a	kompjuter,a
majkrosoft,a	majk,ros,oft,a
makedonac,a	makedon,aca
korisnik,a	korisnika
majkrosoftov,ih	majk,ros,oft,ovih
piratski,h	pirat,skih
softver,a	softvera
licencirani,h	licenc,iranih
autorski,h	autorsk,i,h
nasleđe,m	nasleđe,m
ratni,h	ratnih
jedinstven,og	jedinstvenog
mehanizam,a	mehanizama
chp,-a	0,,,1,,,2,ch,p,-,a
vid,ova	vidov,a
činjenica,ma	činjenica,m,a
protokol,u	protokol,u
prošlost,i	prošlosti
usklađen,ih	usklađen,i,h
ratni,m	ratni,m
zločin,ima	zločin,ima
bilten,u	bil,ten,u
mirsad,a	mir,sada
document,e	doc,ument,e
određen,i	određeni
osumnjičen,ima	osumnjičen,ima
zločin,i	zločin,i
neorganizovan,ih	neo,rganizovan,i,h
određen,ih	određenih
neodređen,ih	neo,dređen,i,h
student,e	student,e
aktivist,e	aktivi,ste
tema,ma	tema,m,a
ešdaunov,a	e,å¡,da,unov,a
pedi,ja	pedi,j,a
ešdaun,a	e,å¡,da,una
suštinski,m	suštinski,m
princip,ima	principima
dogovor,u	dogovor,u
izvodljivost,i	izvod,ljivosti
sds,-a	0,,,1,,,2,sd,s,-,a
policijski,m	policijski,m
neprihvatljiv,e	neprihvatljiv,e
potpun,i	potpuni
prosperitet,a	pros,peri,teta
izgled,i	izgled,i
entitet,a	entiteta
zasnovan,ih	zasnovani,h
dragan,a	dragana
čović,a	čov,ića
milorad,a	milorad,a
dodik,a	dod,ika
napor,ima	napor,ima
avaz,u	ava,z,u
kapacitet,om	kapacitet,o,m
brčko,m	b,rčk,o,m
fikret,a	fik,reta
hasanović,a	has,anović,a
pan,a	pan,a
panić,a	pani,äĩ,a
atentat,om	atent,atom
đinđić,a	äĳ,in,äĳ,ića
ubistvo,m	ubistvo,m
zoran,a	zoran,a
ultranacionalist,e	ultra,nacionalist,e
šešelj,a	å¡,eše,lja
đinđićev,o	äĳ,in,äĳ,ićev,o
luković,a	luko,vića
osumnjičen,og	osumnjičen,o,g
paravojni,h	para,vojnih
slobodan,a	slobodan,a
milošević,a	milošević,a
luković,u	luko,vić,u
optužen,ima	optužen,ima
velik,ih	velikih
razmer,a	razmer,a
paravojni,m	para,vojni,m
struktura,ma	struktura,m,a
formiran,im	formirani,m
rat,ova	ratova
komandant,a	komandant,a
jso,-a	0,,,1,,,2,j,s,o,-,a
automobil,a	automobila
reformist,a	reformi,sta
nacionalist,e	nacionalist,e
tomić,a	tomi,äĩ,a
rade,ta	rade,t,a
bulatović,a	bula,tovi,äĩ,a
savetnik,a	savetnik,a
atentat,a	atent,ata
slučaj,a	slučaja
đinđićev,e	äĳ,in,äĳ,ićev,e
suđenje,m	suđenj,e,m
propust,a	propust,a
sekulić,a	seku,lić,a
milan,a	milana
miljojković,a	milj,ojk,ovića
bekim,a	bek,ima
fehmiju,a	f,e,h,miju,a
istaknut,u	istaknut,u
stan,u	stanu
glumčev,a	glum,čev,a
prizren,a	priz,rena
ljubitelj,i	ljubitelj,i
fehmiju,u	f,e,h,miju,u
film,ove	filmov,e
narod,ima	narod,ima
gvozden,e	g,voz,dene
blok,a	bloka
naj,čuven,ijih	najč,uven,ijih
pijan,i	pija,n,i
go,lim	goli,m
fehmijuov,e	f,e,h,miju,ove
režiser,ima	reži,seri,m,a
film,ovima	filmovi,m,a
pad,u	padu
poznat,a	poznata
visok,oj	visoko,j
smrtnost,i	smrtnost,i
pad,om	pad,o,m
živorođeni,h	živo,rođen,i,h
društven,ih	društvenih
razvod,om	razvo,dom
brak,a	brak,a
karijera,ma	karijera,m,a
sociodemografski,m	socio,demografski,m
abortus,ima	abor,tus,ima
instat,-a	0,,,1,,,2,,,3,,,4,,,5,insta,t,-,a
neprijavljen,e	neprija,vljene
abortus,e	abor,tus,e
vezan,i	vezani
mlad,im	mladim
dete,tu	detet,u
abortus,i	abor,tus,i
dervišijev,im	der,viši,jevim
roditelj,i	roditelji
nov,ije	novij,e
sused,i	sused,i
balkanski,m	balkanski,m
berza,ma	ber,zama
milion,e	milion,e
ktv,-u	0,,,1,,,2,k,t,v,-,u
posmatrač,i	posmatrač,i
vladin,i	vladin,i
predostrožnost,i	predo,stro,žnosti
nejak,e	n,eja,k,e
žarkuov,o	žar,k,u,ovo
insajt,u	ins,ajt,u
emigrant,i	emi,grant,i
banka,ma	banka,m,a
kolaps,a	kola,p,sa
rast,a	rasta
godišnji,m	godišnji,m
rast,om	rastom
institut,om	institut,o,m
privremen,o	privremeno
srednji,h	srednjih
privremen,og	privremeno,g
nezaposlen,ima	nezaposlen,ima
institucija,ma	institucijama
enver,a	e,nver,a
diktatorski,m	dikt,ator,skim
režim,om	režim,o,m
nadolazeći,h	nado,lazeć,i,h
vladar,a	vladara
naj,izolovan,ijom	naj,izolovani,jom
prostor,a	prostora
list,a	lista
karajev,i	kara,jevi
diktator,u	dikt,ator,u
bogat,iji	bogati,j,i
identitet,u	identitet,u
brz,og	brzo,g
problem,i	problemi
noga,ma	noga,m,a
sam,i	sami
prepreka,ma	prepreka,m,a
tvrdoglav,i	tvrd,oglav,i
džejms,a	dže,j,m,sa
bejker,a	b,e,jke,r,a
posed,a	posed,a
zaplenjen,ih	zap,len,jenih
manjina,ma	manjina,m,a
glasnik,u	glasnik,u
dom,ove	dom,ove
nezbrinut,u	nez,brinut,u
različitost,i	različitosti
hrišćanski,h	hrišćanski,h
jevrejski,h	jevrejsk,i,h
zahtev,e	zahteve
turski,m	turski,m
rok,u	roku
fondacija,ma	fondacij,ama
odvojen,oj	odvojen,o,j
manjinski,m	manjinsk,i,m
grupa,ma	grupama
manjinski,h	manjinsk,i,h
amandman,ima	aman,dma,nima
treći,m	treći,m
strana,ma	strana,m,a
nerešen,o	nere,šeno
ustav,u	ustav,u
ran,ijih	raniji,h
mahčupjan,u	mah,äį,u,p,janu
nemusliman,i	nem,usli,mani
decenija,ma	decenijama
smer,u	smer,u
imovinski,h	imovinsk,i,h
nemuslimanski,h	nem,usli,mansk,i,h
trening,u	trening,u
stadion,u	stadion,u
meč,a	meč,a
tim,a	tima
bolest,i	bolesti
osnivač,a	osnivač,a
pozorišni,h	pozoriš,nih
rovinj,u	rovin,j,u
salon,u	salo,n,u
rad,ovi	radovi
luksemburg,a	luks,emb,urg,a
pakistan,a	pak,istan,a
višegrad,u	višeg,radu
ujedinjen,e	ujedinjen,e
krdžali,ju	k,r,dža,liju
seminar,a	semi,nara
renomiran,i	reno,miran,i
ekspert,i	ekspert,i
koncert,e	koncert,e
poznati,h	poznatih
kompozitor,a	kompozitor,a
liponenov,om	lip,onen,ovom
masmedij,a	mas,medija
prav,u	pravu
interes,i	interesi
interes,ima	interesima
prednost,i	prednosti
čest,a	česta
vlasnik,e	vlasnik,e
direktor,e	direktor,e
urednik,a	urednik,a
sudski,h	sudski,h
postupak,a	postupaka
liponenov,e	lip,onen,ove
uvodnik,u	uvod,niku
liponen,a	lip,onen,a
list,ova	listova
zajednica,ma	zajednica,m,a
motivisan,a	motivisan,a
opštinski,h	opštinsk,i,h
prijem,ima	prijem,ima
događaj,e	događaje
haos,a	h,a,osa
sprovođenje,m	sprovođenje,m
ustav,om	ustav,o,m
aparat,a	aparat,a
frižider,a	fri,å¾,ider,a
zamrzivač,a	zam,r,ziva,äį,a
budžetski,m	budžetsk,i,m
suficit,om	s,ufi,cito,m
deficit,om	deficit,o,m
spor,ijeg	spori,jeg
ulog,a	uloga
stran,ih	stranih
muzičar,a	muzičar,a
ijan,a	ijana
braun,a	bra,una
planiran,a	planiran,a
masakr,a	masa,kra
exit,-u	0,,,1,,,2,,,3,e,x,i,t,-,u
sad,u	sadu
posetilac,a	poseti,laca
izvođač,a	izvođača
akreditovan,ih	akredit,ovanih
izveštač,i	izvešta,äį,i
bbc,-a	0,,,1,,,2,b,b,c,-,a
mtv,-a	0,,,1,,,2,m,t,v,-,a
ljubitelj,e	ljubitelj,e
i,'m	i,',m
izvođač,ima	izvođači,m,a
andervorld,a	ander,vor,l,da
posleratni,h	posle,ratnih
naj,poznat,iji	najpoznatiji
koren,e	koren,e
opis,a	opisa
ovogodišnji,h	ovogodišnj,i,h
glastonberi,ja	glas,ton,ber,ija
društven,im	društvenim
tih,u	tih,u
tekst,u	tekstu
napad,i	napad,i
exit,-a	0,,,1,,,2,,,3,e,x,i,t,-,a
pominjanje,m	pominj,anjem
masakr,u	masa,kru
mnoštvo,m	mnoštvo,m
hrvat,ima	hrvati,m,a
drugi,ma	drugima
rat,u	ratu
sad,a	sada
petrovaradin,u	petrov,aradi,n,u
nasmejan,a	nas,mej,ana
festival,i	festival,i
društven,a	društvena
hašim,om	h,ašim,o,m
tači,jem	tač,ijem
diplomatski,m	diplomatski,m
hašim,u	h,ašim,u
tači,ju	tač,iju
jakup,om	jaku,pom
krasnići,jem	kras,nić,ijem
zamenik,om	zamenik,o,m
leri,jem	leri,jem
rosin,om	ros,inom
rumunski,m	rumunsk,i,m
adrijan,om	adri,jano,m
čorojanu,om	äį,oro,janu,o,m
hose,a	hos,e,a
luis,a	lui,s,a
rodrigez,a	rodr,ige,z,a
zapater,a	zapa,tera
gost,iju	gosti,j,u
nemački,m	nemački,m
štajnmajer,om	štajn,maj,erom
brz,o	brzo
potpun,e	potpun,e
guverner,a	g,uver,nera
delegat,a	dele,gat,a
vodeći,h	vodeći,h
žan,om	žan,o,m
lemijer,om	lemi,jer,o,m
investitor,ima	investitori,m,a
očekivan,og	očekivano,g
biznis,om	biznis,o,m
potpredsednik,om	potpredsednik,o,m
miroljub,om	miro,ljubo,m
labus,om	lab,u,som
projekt,ima	projektima
ton,u	ton,u
potpun,im	potpuni,m
uspeh,om	uspeh,o,m
rat,a	rata
narod,i	narod,i
lak,ši	lakš,i
kongres,u	kongres,u
kofi,ja	k,ofi,j,a
anan,a	ana,na
prihvatljiv,og	prihvatljivo,g
demokrata,ma	demokrat,ama
priznat,i	priznat,i
udar,a	udara
skor,o	skoro
rezolucija,ma	rezolucij,ama
vremenski,m	vremenskim
okvir,om	okvir,o,m
redžep,a	red,å¾,epa
tajip,a	taj,ipa
erdogan,a	erd,oga,na
aerodrom,i	aerodrom,i
brod,ove	brod,ove
avion,e	avion,e
obim,a	obima
sali,jem	sali,jem
žestok,u	å¾,esto,k,u
kritičar,i	kritičar,i
edi,ja	edija
problem,om	problem,o,m
pojedinac,a	pojedinaca
zakon,om	zakonom
neuobičajen,o	ne,uobičajeno
otkaz,a	otkaz,a
osoba,ma	osobama
status,om	status,o,m
službenik,a	službenika
njen,im	njenim
strog,om	strogo,m
faktor,om	faktor,o,m
visok,e	visoke
ostali,m	ostalim
nosilac,a	nosilac,a
monopol,ima	mono,polim,a
višegodišnji,h	višeg,odiš,njih
monopol,a	mono,pola
pogodnost,i	pogodn,osti
monopolist,i	mono,polis,t,i
biznismen,a	biznis,mena
opterećen,i	opterećen,i
cena,ma	cenama
monopol,i	mono,poli
kartel,i	karte,l,i
monopolistički,h	mono,polis,tičkih
proizvođač,e	proizvođač,e
domaći,h	domaćih
mmf,-a	0,,,1,,,2,mm,f,-,a
monopol,e	mono,pole
prehramben,oj	prehramben,o,j
mali,m	malim
prihod,ima	prihod,ima
nezaposlen,i	nezaposlen,i
kartel,e	karte,l,e
reč,i	reči
neobuzdan,a	neo,b,uzdan,a
nezakonit,o	neza,konit,o
stan,a	stana
unuk,a	unu,k,a
intelektualac,a	intelektual,aca
organizovan,a	organizovana
dokument,u	dokumentu
civil,a	civil,a
saopštenje,m	saopšten,jem
penzionisan,i	penzion,isani
pridruživanje,m	pridruži,vanjem
saveznik,a	savezni,k,a
ostali,ma	ostalim,a
mek,i	mek,i
star,e	stare
rat,ovi	ratov,i
raspad,a	raspada
jednak,i	jednaki
klimav,im	klima,vim
temelj,ima	temelji,m,a
prihod,e	prihod,e
marković,em	marković,e,m
blok,u	blok,u
